session,gender,disability_scope,olevel_exam_body,loc_level,loc_label,zone,state,lga,ward,school,candidate_count,passed_count,utme_candidate_count,utme_qualified_count,admitted_count,matriculated_count,pass_rate_pct,utme_qualifying_rate_pct,admission_rate_pct,matriculation_completion_rate_pct
2022/2023,Female,all,NABTEB,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,286,208,326,118,42,41,72.7273,36.1963,12.8834,97.619
2022/2023,Female,all,NABTEB,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,310,226,360,130,46,43,72.9032,36.1111,12.7778,93.4783
2022/2023,Female,all,NABTEB,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,263,192,307,111,40,37,73.0038,36.1564,13.0293,92.5
2022/2023,Female,all,NABTEB,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,266,194,305,111,39,36,72.9323,36.3934,12.7869,92.3077
2022/2023,Female,all,NABTEB,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,302,220,342,125,42,38,72.8477,36.5497,12.2807,90.4762
2022/2023,Female,all,NECO,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,526,343,604,218,69,61,65.2091,36.0927,11.4238,88.4058
2022/2023,Female,all,NECO,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,566,369,660,237,77,67,65.1943,35.9091,11.6667,87.013
2022/2023,Female,all,NECO,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,498,325,569,206,67,60,65.261,36.2039,11.775,89.5522
2022/2023,Female,all,NECO,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,499,325,572,207,69,62,65.1303,36.1888,12.0629,89.8551
2022/2023,Female,all,NECO,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,540,352,617,222,66,59,65.1852,35.9806,10.6969,89.3939
2022/2023,Female,all,WAEC,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,685,482,793,283,98,90,70.365,35.6873,12.3581,91.8367
2022/2023,Female,all,WAEC,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,741,521,862,309,104,97,70.3104,35.8469,12.065,93.2692
2022/2023,Female,all,WAEC,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,657,462,751,268,97,93,70.3196,35.6858,12.9161,95.8763
2022/2023,Female,all,WAEC,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,666,468,766,273,98,92,70.2703,35.6397,12.7937,93.8776
2022/2023,Female,all,WAEC,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,705,496,801,287,95,90,70.3546,35.8302,11.8602,94.7368
2022/2023,Female,disabled,NABTEB,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,27,19,28,11,6,5,70.3704,39.2857,21.4286,83.3333
2022/2023,Female,disabled,NABTEB,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,26,19,29,11,5,4,73.0769,37.931,17.2414,80.0
2022/2023,Female,disabled,NABTEB,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,26,19,31,12,5,4,73.0769,38.7097,16.129,80.0
2022/2023,Female,disabled,NABTEB,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,26,19,30,12,6,5,73.0769,40.0,20.0,83.3333
2022/2023,Female,disabled,NABTEB,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,28,20,29,12,6,5,71.4286,41.3793,20.6897,83.3333
2022/2023,Female,disabled,NECO,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,41,27,46,18,6,5,65.8537,39.1304,13.0435,83.3333
2022/2023,Female,disabled,NECO,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,42,28,50,19,6,5,66.6667,38.0,12.0,83.3333
2022/2023,Female,disabled,NECO,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,38,25,43,17,6,5,65.7895,39.5349,13.9535,83.3333
2022/2023,Female,disabled,NECO,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,42,27,49,18,6,5,64.2857,36.7347,12.2449,83.3333
2022/2023,Female,disabled,NECO,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,42,28,48,18,5,4,66.6667,37.5,10.4167,80.0
2022/2023,Female,disabled,WAEC,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,51,36,60,21,6,5,70.5882,35.0,10.0,83.3333
2022/2023,Female,disabled,WAEC,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,54,38,64,23,7,6,70.3704,35.9375,10.9375,85.7143
2022/2023,Female,disabled,WAEC,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,47,33,54,19,6,5,70.2128,35.1852,11.1111,83.3333
2022/2023,Female,disabled,WAEC,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,55,39,65,23,6,5,70.9091,35.3846,9.2308,83.3333
2022/2023,Female,disabled,WAEC,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,56,39,64,23,6,5,69.6429,35.9375,9.375,83.3333
2022/2023,Male,all,NABTEB,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,222,161,255,92,48,45,72.5225,36.0784,18.8235,93.75
2022/2023,Male,all,NABTEB,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,249,181,292,105,54,51,72.6908,35.9589,18.4932,94.4444
2022/2023,Male,all,NABTEB,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,210,153,240,86,41,39,72.8571,35.8333,17.0833,95.122
2022/2023,Male,all,NABTEB,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,218,158,253,91,42,38,72.4771,35.9684,16.6008,90.4762
2022/2023,Male,all,NABTEB,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,229,167,258,93,46,42,72.9258,36.0465,17.8295,91.3043
2022/2023,Male,all,NECO,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,421,275,486,175,77,69,65.3207,36.0082,15.8436,89.6104
2022/2023,Male,all,NECO,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,450,293,520,186,86,76,65.1111,35.7692,16.5385,88.3721
2022/2023,Male,all,NECO,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,386,252,444,160,71,64,65.285,36.036,15.991,90.1408
2022/2023,Male,all,NECO,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,395,258,453,163,74,64,65.3165,35.9823,16.3355,86.4865
2022/2023,Male,all,NECO,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,429,280,490,176,78,69,65.2681,35.9184,15.9184,88.4615
2022/2023,Male,all,WAEC,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,549,386,629,225,106,100,70.3097,35.7711,16.8521,94.3396
2022/2023,Male,all,WAEC,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,584,411,673,241,120,113,70.3767,35.8098,17.8306,94.1667
2022/2023,Male,all,WAEC,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,515,363,593,212,100,94,70.4854,35.7504,16.8634,94.0
2022/2023,Male,all,WAEC,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,535,376,623,223,110,103,70.2804,35.7945,17.6565,93.6364
2022/2023,Male,all,WAEC,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,552,388,626,224,108,101,70.2899,35.7827,17.2524,93.5185
2022/2023,Male,disabled,NABTEB,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,21,15,24,9,7,6,71.4286,37.5,29.1667,85.7143
2022/2023,Male,disabled,NABTEB,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,20,14,24,9,7,6,70.0,37.5,29.1667,85.7143
2022/2023,Male,disabled,NABTEB,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,20,14,22,8,5,4,70.0,36.3636,22.7273,80.0
2022/2023,Male,disabled,NABTEB,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,21,15,24,9,3,2,71.4286,37.5,12.5,66.6667
2022/2023,Male,disabled,NABTEB,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,21,15,23,9,5,4,71.4286,39.1304,21.7391,80.0
2022/2023,Male,disabled,NECO,lga,Abuja Municipal Area Council,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,,,33,22,36,14,5,4,66.6667,38.8889,13.8889,80.0
2022/2023,Male,disabled,NECO,lga,Bwari,North Central,Abuja Federal Capital Territory,Bwari,,,34,22,39,14,6,5,64.7059,35.8974,15.3846,83.3333
2022/2023,Male,disabled,NECO,lga,Gwagwalada,North Central,Abuja Federal Capital Territory,Gwagwalada,,,30,20,36,13,6,5,66.6667,36.1111,16.6667,83.3333
2022/2023,Male,disabled,NECO,lga,Kuje,North Central,Abuja Federal Capital Territory,Kuje,,,33,22,38,14,6,5,66.6667,36.8421,15.7895,83.3333
2022/2023,Male,disabled,NECO,lga,Kwali,North Central,Abuja Federal Capital Territory,Kwali,,,31,20,35,13,6,5,64.5161,37.1429,17.1429,83.3333
