"session","gender","disability_scope","exam_body","gap_band","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Biu","North East","Borno","Biu","","","0","139","78","25","29","0","0","61","53","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Gwoza","North East","Borno","Gwoza","","","0","240","135","48","49","0","0","105","87","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Jere","North East","Borno","Jere","","","0","87","51","19","21","0","0","36","32","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Maiduguri","North East","Borno","Maiduguri","","","0","184","110","46","35","12","0","74","64","12"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Biu","North East","Borno","Biu","","","0","153","89","32","28","6","0","64","57","6"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Chibok","North East","Borno","Chibok","","","0","166","91","38","28","12","0","75","53","12"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Gwoza","North East","Borno","Gwoza","","","0","120","71","39","29","10","0","49","32","10"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Jere","North East","Borno","Jere","","","0","131","76","31","35","0","0","55","45","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Maiduguri","North East","Borno","Maiduguri","","","0","174","96","45","35","12","0","78","51","12"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Biu","North East","Borno","Biu","","","0","172","103","45","49","0","0","69","58","0"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Chibok","North East","Borno","Chibok","","","0","244","132","53","56","0","0","112","79","0"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Gwoza","North East","Borno","Gwoza","","","0","88","51","26","21","6","0","37","25","6"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Jere","North East","Borno","Jere","","","0","168","96","37","42","0","0","72","59","0"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Maiduguri","North East","Borno","Maiduguri","","","0","66","38","20","21","0","0","28","18","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Biu","North East","Borno","Biu","","","0","78","45","18","21","0","0","33","27","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Gwoza","North East","Borno","Gwoza","","","0","157","92","42","42","0","0","65","50","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Jere","North East","Borno","Jere","","","0","61","33","19","21","0","0","28","14","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Maiduguri","North East","Borno","Maiduguri","","","0","111","64","32","35","0","0","47","32","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Biu","North East","Borno","Biu","","","0","95","50","25","28","0","0","45","25","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Chibok","North East","Borno","Chibok","","","0","97","54","26","28","0","0","43","28","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Gwoza","North East","Borno","Gwoza","","","0","83","46","26","21","6","0","37","20","6"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Jere","North East","Borno","Jere","","","0","82","49","26","28","0","0","33","23","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Maiduguri","North East","Borno","Maiduguri","","","0","109","61","26","28","0","0","48","35","0"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Biu","North East","Borno","Biu","","","0","119","69","31","35","0","0","50","38","0"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Chibok","North East","Borno","Chibok","","","0","143","84","46","49","0","0","59","38","0"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Gwoza","North East","Borno","Gwoza","","","0","57","33","14","14","0","0","24","19","0"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Jere","North East","Borno","Jere","","","0","110","65","25","28","0","0","45","40","0"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Maiduguri","North East","Borno","Maiduguri","","","0","43","24","14","14","0","0","19","10","0"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","lga","Biu","North East","Borno","Biu","","","0","55","31","19","7","12","0","24","12","12"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","lga","Gwoza","North East","Borno","Gwoza","","","0","98","55","28","7","21","0","43","27","21"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","lga","Jere","North East","Borno","Jere","","","0","39","20","12","7","6","0","19","9","6"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","lga","Maiduguri","North East","Borno","Maiduguri","","","0","73","44","26","14","13","0","29","18","13"
"2019/2020","Female","all","NABTEB","3-5-year","Polytechnic","lga","Biu","North East","Borno","Biu","","","0","55","33","13","7","7","0","22","20","7"
"2019/2020","Female","all","NABTEB","3-5-year","Polytechnic","lga","Chibok","North East","Borno","Chibok","","","0","67","36","20","14","6","0","31","16","6"
"2019/2020","Female","all","NABTEB","3-5-year","Polytechnic","lga","Gwoza","North East","Borno","Gwoza","","","0","53","33","13","14","0","0","20","20","0"
"2019/2020","Female","all","NABTEB","3-5-year","Polytechnic","lga","Jere","North East","Borno","Jere","","","0","50","28","26","21","7","0","22","4","7"
"2019/2020","Female","all","NABTEB","3-5-year","Polytechnic","lga","Maiduguri","North East","Borno","Maiduguri","","","0","71","41","20","21","0","0","30","21","0"
"2019/2020","Female","all","NABTEB","3-5-year","University","lga","Biu","North East","Borno","Biu","","","0","72","44","26","14","13","0","28","18","13"
"2019/2020","Female","all","NABTEB","3-5-year","University","lga","Chibok","North East","Borno","Chibok","","","0","97","53","13","0","13","0","44","40","13"
"2019/2020","Female","all","NABTEB","3-5-year","University","lga","Gwoza","North East","Borno","Gwoza","","","0","36","20","14","14","0","0","16","6","0"
"2019/2020","Female","all","NABTEB","3-5-year","University","lga","Jere","North East","Borno","Jere","","","0","71","39","18","7","12","0","32","21","12"
"2019/2020","Female","all","NABTEB","3-5-year","University","lga","Maiduguri","North East","Borno","Maiduguri","","","0","28","18","0","0","0","0","10","18","0"
"2019/2020","Female","all","NABTEB","5+-year","College of Education","lga","Biu","North East","Borno","Biu","","","0","25","15","7","0","7","0","10","8","7"
"2019/2020","Female","all","NABTEB","5+-year","College of Education","lga","Gwoza","North East","Borno","Gwoza","","","0","57","33","0","0","0","0","24","33","0"
"2019/2020","Female","all","NABTEB","5+-year","College of Education","lga","Jere","North East","Borno","Jere","","","0","24","12","0","0","0","0","12","12","0"
"2019/2020","Female","all","NABTEB","5+-year","College of Education","lga","Maiduguri","North East","Borno","Maiduguri","","","0","44","25","0","0","0","0","19","25","0"
"2019/2020","Female","all","NABTEB","5+-year","Polytechnic","lga","Biu","North East","Borno","Biu","","","0","31","17","0","0","0","0","14","17","0"
"2019/2020","Female","all","NABTEB","5+-year","Polytechnic","lga","Chibok","North East","Borno","Chibok","","","0","38","23","0","0","0","0","15","23","0"
"2019/2020","Female","all","NABTEB","5+-year","Polytechnic","lga","Gwoza","North East","Borno","Gwoza","","","0","26","16","0","0","0","0","10","16","0"
"2019/2020","Female","all","NABTEB","5+-year","Polytechnic","lga","Jere","North East","Borno","Jere","","","0","29","18","7","0","7","0","11","11","7"
