"session","gender","disability_scope","exam_body","gap_band","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Ibadan North","South West","Oyo","Ibadan North","","","0","211","126","46","49","4","0","85","80","4"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Ibadan South","South West","Oyo","Ibadan South","","","0","220","135","50","60","0","0","85","85","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Ogbomosho North","South West","Oyo","Ogbomosho North","","","0","227","136","46","49","3","0","91","90","3"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Oyo East","South West","Oyo","Oyo East","","","0","251","153","55","49","10","0","98","98","10"
"2019/2020","Female","all","NABTEB","1-year","College of Education","lga","Saki East","South West","Oyo","Saki East","","","0","184","120","46","44","6","0","64","74","6"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Ibadan North","South West","Oyo","Ibadan North","","","0","41","26","9","11","0","0","15","17","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Ibadan South","South West","Oyo","Ibadan South","","","0","183","112","46","43","7","0","71","66","7"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Ogbomosho North","South West","Oyo","Ogbomosho North","","","0","27","17","5","5","0","0","10","12","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Oyo East","South West","Oyo","Oyo East","","","0","57","34","9","11","0","0","23","25","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","lga","Saki East","South West","Oyo","Saki East","","","0","172","106","38","37","3","0","66","68","3"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Ibadan North","South West","Oyo","Ibadan North","","","0","259","162","50","54","4","0","97","112","4"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Ibadan South","South West","Oyo","Ibadan South","","","0","46","29","14","11","3","0","17","15","3"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Ogbomosho North","South West","Oyo","Ogbomosho North","","","0","282","173","54","48","11","0","109","119","11"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Oyo East","South West","Oyo","Oyo East","","","0","219","126","38","36","4","0","93","88","4"
"2019/2020","Female","all","NABTEB","1-year","University","lga","Saki East","South West","Oyo","Saki East","","","0","137","80","28","32","0","0","57","52","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Ibadan North","South West","Oyo","Ibadan North","","","0","140","82","33","31","4","0","58","49","4"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Ibadan South","South West","Oyo","Ibadan South","","","0","140","84","34","30","4","0","56","50","4"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Ogbomosho North","South West","Oyo","Ogbomosho North","","","0","142","88","37","25","12","0","54","51","12"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Oyo East","South West","Oyo","Oyo East","","","0","162","97","33","31","4","0","65","64","4"
"2019/2020","Female","all","NABTEB","2-year","College of Education","lga","Saki East","South West","Oyo","Saki East","","","0","119","77","32","26","8","0","42","45","8"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Ibadan North","South West","Oyo","Ibadan North","","","0","27","14","5","5","0","0","13","9","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Ibadan South","South West","Oyo","Ibadan South","","","0","119","73","33","31","4","0","46","40","4"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Ogbomosho North","South West","Oyo","Ogbomosho North","","","0","19","9","5","5","0","0","10","4","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Oyo East","South West","Oyo","Oyo East","","","0","38","23","5","5","0","0","15","18","0"
"2019/2020","Female","all","NABTEB","2-year","Polytechnic","lga","Saki East","South West","Oyo","Saki East","","","0","106","65","24","26","0","0","41","41","0"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Ibadan North","South West","Oyo","Ibadan North","","","0","151","100","28","31","0","0","51","72","0"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Ibadan South","South West","Oyo","Ibadan South","","","0","30","17","9","11","0","0","13","8","0"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Ogbomosho North","South West","Oyo","Ogbomosho North","","","0","178","108","37","30","8","0","70","71","8"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Oyo East","South West","Oyo","Oyo East","","","0","134","76","30","30","0","0","58","46","0"
"2019/2020","Female","all","NABTEB","2-year","University","lga","Saki East","South West","Oyo","Saki East","","","0","90","57","24","20","4","0","33","33","4"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","lga","Ibadan North","South West","Oyo","Ibadan North","","","0","94","53","29","31","0","0","41","24","0"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","lga","Ibadan South","South West","Oyo","Ibadan South","","","0","88","52","25","25","0","0","36","27","0"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","lga","Ogbomosho North","South West","Oyo","Ogbomosho North","","","0","98","59","25","25","0","0","39","34","0"
"2019/2020","Female","all","NABTEB","3-5-year","College of Education","lga","Oyo East","South West","Oyo","Oyo East","","","0","100","59","25","25","0","0","41","34","0"
