"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Community Secondary School, Achalla  I","Female","all","NABTEB","University","98","97","66","20","17","3","1.8","1","31","47","3"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Community Secondary School, Achalla  I","Female","all","NECO","University","207","204","137","48","41","7","1.8","3","67","89","7"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Community Secondary School, Achalla  I","Female","all","WAEC","University","219","216","141","46","42","4","1.8","3","75","95","4"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Community Secondary School, Achalla  I","Female","disabled","NABTEB","University","10","10","5","4","4","0","1.8","0","5","2","0"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Community Secondary School, Achalla  I","Female","disabled","NECO","University","20","20","10","4","5","0","1.8","0","10","7","0"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Community Secondary School, Achalla  I","Female","disabled","WAEC","University","22","22","13","3","4","0","1.8","0","9","10","0"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Community Secondary School, Achalla  I","Male","all","NABTEB","University","125","123","79","20","17","3","1.8","2","44","59","3"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Community Secondary School, Achalla  I","Male","all","NECO","University","222","219","137","40","32","8","1.8","3","82","98","8"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Community Secondary School, Achalla  I","Male","all","WAEC","University","283","279","185","57","54","3","1.8","4","94","128","3"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Community Secondary School, Achalla  I","Male","disabled","NABTEB","University","10","10","5","0","0","0","1.8","0","5","5","0"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Community Secondary School, Achalla  I","Male","disabled","NECO","University","23","23","14","4","5","0","1.8","0","9","10","0"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Community Secondary School, Achalla  I","Male","disabled","WAEC","University","27","27","17","3","4","0","1.8","0","10","14","0"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Comprehensive High School, Achalla  I","Female","all","NABTEB","University","85","84","56","25","21","4","1.8","1","28","32","4"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Comprehensive High School, Achalla  I","Female","all","NECO","University","172","169","115","44","41","3","1.8","3","54","72","3"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Comprehensive High School, Achalla  I","Female","all","WAEC","University","232","229","163","68","61","7","1.8","3","66","96","7"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Comprehensive High School, Achalla  I","Female","disabled","NABTEB","University","10","10","5","4","4","0","1.8","0","5","2","0"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Comprehensive High School, Achalla  I","Female","disabled","NECO","University","20","20","10","4","5","0","1.8","0","10","7","0"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Comprehensive High School, Achalla  I","Female","disabled","WAEC","University","27","27","17","7","8","0","1.8","0","10","11","0"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Comprehensive High School, Achalla  I","Male","all","NABTEB","University","90","89","63","20","17","3","1.8","1","26","44","3"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Comprehensive High School, Achalla  I","Male","all","NECO","University","183","180","118","40","37","3","1.8","3","62","78","3"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Comprehensive High School, Achalla  I","Male","all","WAEC","University","243","239","162","53","49","4","1.8","4","77","109","4"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Comprehensive High School, Achalla  I","Male","disabled","NABTEB","University","10","10","5","4","4","0","1.8","0","5","2","0"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Comprehensive High School, Achalla  I","Male","disabled","NECO","University","23","23","14","4","5","0","1.8","0","9","10","0"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Comprehensive High School, Achalla  I","Male","disabled","WAEC","University","27","27","17","3","4","0","1.8","0","10","14","0"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Government Secondary School, Achalla  I","Female","all","NABTEB","University","90","89","63","20","17","3","1.8","1","26","44","3"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Government Secondary School, Achalla  I","Female","all","NECO","University","162","160","106","47","40","7","1.8","2","54","58","7"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Government Secondary School, Achalla  I","Female","all","WAEC","University","231","228","158","60","54","7","1.8","3","70","97","7"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Government Secondary School, Achalla  I","Female","disabled","NABTEB","University","10","10","5","4","4","0","1.8","0","5","2","0"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Government Secondary School, Achalla  I","Female","disabled","NECO","University","14","14","8","4","5","0","1.8","0","6","5","0"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Government Secondary School, Achalla  I","Female","disabled","WAEC","University","19","19","12","3","4","0","1.8","0","7","10","0"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Government Secondary School, Achalla  I","Male","all","NABTEB","University","98","97","66","25","21","4","1.8","1","31","42","4"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Government Secondary School, Achalla  I","Male","all","NECO","University","178","175","115","44","37","7","1.8","3","60","72","7"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Government Secondary School, Achalla  I","Male","all","WAEC","University","270","266","193","68","61","7","1.8","4","73","126","7"
"2019/2020","South East","Anambra","Awka North","Achalla  I","Government Secondary School, Achalla  I","Male","disabled","NABTEB","University","10","10","5","4","4","0","1.8","0","5","2","0"
