"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North West","Kaduna","Jema'a","Asso","Community Secondary School, Asso","Female","all","NABTEB","College of Education","146","144","105","53","46","7","2.1","2","39","52","7"
"2019/2020","North West","Kaduna","Jema'a","Asso","Community Secondary School, Asso","Female","all","NECO","College of Education","303","299","205","72","63","9","2.0","4","94","134","9"
"2019/2020","North West","Kaduna","Jema'a","Asso","Community Secondary School, Asso","Female","all","WAEC","College of Education","368","363","265","119","108","11","2.0","5","98","145","11"
"2019/2020","North West","Kaduna","Jema'a","Asso","Community Secondary School, Asso","Female","disabled","NABTEB","College of Education","15","15","11","8","8","0","2.1","0","4","4","0"
"2019/2020","North West","Kaduna","Jema'a","Asso","Community Secondary School, Asso","Female","disabled","NECO","College of Education","40","39","26","7","7","0","2.0","1","13","19","0"
"2019/2020","North West","Kaduna","Jema'a","Asso","Community Secondary School, Asso","Female","disabled","WAEC","College of Education","50","49","33","13","13","0","2.0","1","16","21","0"
"2019/2020","North West","Kaduna","Jema'a","Asso","Community Secondary School, Asso","Male","all","NABTEB","College of Education","184","181","138","53","46","7","2.1","3","43","85","7"
"2019/2020","North West","Kaduna","Jema'a","Asso","Community Secondary School, Asso","Male","all","NECO","College of Education","360","355","256","85","78","7","2.0","5","99","171","7"
"2019/2020","North West","Kaduna","Jema'a","Asso","Community Secondary School, Asso","Male","all","WAEC","College of Education","442","435","299","120","109","11","2.0","7","136","180","11"
"2019/2020","North West","Kaduna","Jema'a","Asso","Community Secondary School, Asso","Male","disabled","NABTEB","College of Education","22","22","16","8","8","0","2.1","0","6","7","0"
"2019/2020","North West","Kaduna","Jema'a","Asso","Community Secondary School, Asso","Male","disabled","NECO","College of Education","52","51","33","7","7","0","2.0","1","18","26","0"
"2019/2020","North West","Kaduna","Jema'a","Asso","Community Secondary School, Asso","Male","disabled","WAEC","College of Education","61","60","37","13","13","0","2.0","1","23","24","0"
"2019/2020","North West","Kaduna","Jema'a","Asso","Comprehensive High School, Asso","Female","all","NABTEB","Polytechnic","141","139","104","43","36","7","2.0","2","35","60","7"
"2019/2020","North West","Kaduna","Jema'a","Asso","Comprehensive High School, Asso","Female","all","NECO","Polytechnic","270","266","187","72","64","8","2.0","4","79","115","8"
"2019/2020","North West","Kaduna","Jema'a","Asso","Comprehensive High School, Asso","Female","all","WAEC","Polytechnic","343","338","230","94","87","7","2.0","5","108","135","7"
"2019/2020","North West","Kaduna","Jema'a","Asso","Comprehensive High School, Asso","Female","disabled","NABTEB","Polytechnic","15","15","11","8","8","0","2.0","0","4","4","0"
"2019/2020","North West","Kaduna","Jema'a","Asso","Comprehensive High School, Asso","Female","disabled","NECO","Polytechnic","28","28","18","7","7","0","2.0","0","10","11","0"
"2019/2020","North West","Kaduna","Jema'a","Asso","Comprehensive High School, Asso","Female","disabled","WAEC","Polytechnic","40","39","27","6","7","0","2.0","1","12","21","0"
"2019/2020","North West","Kaduna","Jema'a","Asso","Comprehensive High School, Asso","Male","all","NABTEB","Polytechnic","135","133","87","26","28","0","2.0","2","46","62","0"
"2019/2020","North West","Kaduna","Jema'a","Asso","Comprehensive High School, Asso","Male","all","NECO","Polytechnic","280","276","190","71","70","1","2.0","4","86","118","1"
"2019/2020","North West","Kaduna","Jema'a","Asso","Comprehensive High School, Asso","Male","all","WAEC","Polytechnic","337","332","230","101","88","13","2.0","5","102","130","13"
"2019/2020","North West","Kaduna","Jema'a","Asso","Comprehensive High School, Asso","Male","disabled","NABTEB","Polytechnic","12","12","7","0","0","0","2.0","0","5","7","0"
"2019/2020","North West","Kaduna","Jema'a","Asso","Comprehensive High School, Asso","Male","disabled","NECO","Polytechnic","29","29","18","7","7","0","2.0","0","11","12","0"
"2019/2020","North West","Kaduna","Jema'a","Asso","Comprehensive High School, Asso","Male","disabled","WAEC","Polytechnic","36","35","20","6","7","0","2.0","1","15","14","0"
