session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated,median_time_to_matriculation_years
2022/2023,Female,all,NABTEB,1-year,College of Education,zone,North Central,North Central,,,,,0,1403,1625,715,656,17,0,0,910,59,1.0
2022/2023,Female,all,NABTEB,1-year,College of Education,zone,North East,North East,,,,,0,2342,2709,481,434,13,0,0,2228,47,1.0
2022/2023,Female,all,NABTEB,1-year,College of Education,zone,North West,North West,,,,,0,4424,5125,688,627,17,0,0,4437,61,1.0
2022/2023,Female,all,NABTEB,1-year,College of Education,zone,South East,South East,,,,,0,1124,1311,287,265,6,0,0,1024,22,1.0
2022/2023,Female,all,NABTEB,1-year,College of Education,zone,South South,South South,,,,,0,1383,1626,223,209,4,0,0,1403,14,1.0
2022/2023,Female,all,NABTEB,1-year,College of Education,zone,South West,South West,,,,,0,3365,3874,1094,1005,25,0,0,2780,89,1.0
2022/2023,Female,all,NABTEB,1-year,Polytechnic,zone,North Central,North Central,,,,,0,1335,1542,579,529,14,0,0,963,50,1.0
2022/2023,Female,all,NABTEB,1-year,Polytechnic,zone,North East,North East,,,,,0,2084,2415,250,230,6,0,0,2165,20,1.0
2022/2023,Female,all,NABTEB,1-year,Polytechnic,zone,North West,North West,,,,,0,3353,3811,471,435,10,0,0,3340,36,1.0
2022/2023,Female,all,NABTEB,1-year,Polytechnic,zone,South East,South East,,,,,0,1134,1306,318,298,6,0,0,988,20,1.0
2022/2023,Female,all,NABTEB,1-year,Polytechnic,zone,South South,South South,,,,,0,1365,1601,380,363,5,0,0,1221,17,1.0
2022/2023,Female,all,NABTEB,1-year,Polytechnic,zone,South West,South West,,,,,0,3209,3772,1209,1138,20,0,0,2563,71,1.0
2022/2023,Female,all,NABTEB,1-year,University,zone,North Central,North Central,,,,,0,1374,1575,3097,2792,85,0,0,0,305,1.0
2022/2023,Female,all,NABTEB,1-year,University,zone,North East,North East,,,,,0,1941,2262,1801,1780,6,0,0,461,21,1.0
2022/2023,Female,all,NABTEB,1-year,University,zone,North West,North West,,,,,0,4553,5219,2044,1855,53,0,0,3175,189,1.0
2022/2023,Female,all,NABTEB,1-year,University,zone,South East,South East,,,,,0,1211,1412,3052,2998,15,0,0,0,54,1.0
2022/2023,Female,all,NABTEB,1-year,University,zone,South South,South South,,,,,0,1254,1444,3308,3060,69,0,0,0,248,1.0
2022/2023,Female,all,NABTEB,1-year,University,zone,South West,South West,,,,,0,3341,3837,3766,3332,122,0,0,71,434,1.0
2022/2023,Female,all,NABTEB,2-year,College of Education,zone,North Central,North Central,,,,,0,898,1051,460,429,9,0,0,591,31,2.0
2022/2023,Female,all,NABTEB,2-year,College of Education,zone,North East,North East,,,,,0,1493,1707,329,328,0,0,0,1378,1,2.0
2022/2023,Female,all,NABTEB,2-year,College of Education,zone,North West,North West,,,,,0,2796,3294,474,473,0,0,0,2820,1,2.0
2022/2023,Female,all,NABTEB,2-year,College of Education,zone,South East,South East,,,,,0,724,855,182,175,2,0,0,673,7,2.0
2022/2023,Female,all,NABTEB,2-year,College of Education,zone,South South,South South,,,,,0,885,1031,141,134,2,0,0,890,7,2.0
2022/2023,Female,all,NABTEB,2-year,College of Education,zone,South West,South West,,,,,0,2159,2501,704,670,10,0,0,1797,34,2.0
2022/2023,Female,all,NABTEB,2-year,Polytechnic,zone,North Central,North Central,,,,,0,849,973,375,357,5,0,0,598,18,2.0
