session,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,loc_level,loc_label,zone,state,lga,ward,school,student_count,is_o_level_student,school_count,classroom_count,computer_count,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Aninri,South East,Enugu,Aninri,,,66,0,0,10,3,0.0,6.6,22.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Awgu,South East,Enugu,Awgu,,,65,0,0,8,2,0.0,8.125,32.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Enugu East,South East,Enugu,Enugu East,,,73,0,0,8,3,0.0,9.125,24.3333
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Enugu North,South East,Enugu,Enugu North,,,82,0,0,10,4,0.0,8.2,20.5
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Enugu South,South East,Enugu,Enugu South,,,85,0,0,12,4,0.0,7.0833,21.25
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Ezeagu,South East,Enugu,Ezeagu,,,121,0,0,15,4,0.0,8.0667,30.25
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Igbo-Etiti,South East,Enugu,Igbo-Etiti,,,131,0,0,18,7,0.0,7.2778,18.7143
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Igbo-Eze North,South East,Enugu,Igbo-Eze North,,,124,0,0,15,5,0.0,8.2667,24.8
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Igbo-Eze South,South East,Enugu,Igbo-Eze South,,,99,0,0,12,4,0.0,8.25,24.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Isi-Uzo,South East,Enugu,Isi-Uzo,,,71,0,0,10,3,0.0,7.1,23.6667
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Nkanu East,South East,Enugu,Nkanu East,,,89,0,0,12,4,0.0,7.4167,22.25
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Nkanu West,South East,Enugu,Nkanu West,,,87,0,0,11,4,0.0,7.9091,21.75
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Nsukka,South East,Enugu,Nsukka,,,124,0,0,17,5,0.0,7.2941,24.8
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Oji-River,South East,Enugu,Oji-River,,,121,0,0,16,4,0.0,7.5625,30.25
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Udenu,South East,Enugu,Udenu,,,67,0,0,10,3,0.0,6.7,22.3333
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Udi,South East,Enugu,Udi,,,121,0,0,16,3,0.0,7.5625,40.3333
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 1,,lga,Uzo-Uwani,South East,Enugu,Uzo-Uwani,,,102,0,0,15,3,0.0,6.8,34.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Aninri,South East,Enugu,Aninri,,,50,0,0,3,0,0.0,16.6667,0.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Awgu,South East,Enugu,Awgu,,,50,0,0,2,0,0.0,25.0,0.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Enugu East,South East,Enugu,Enugu East,,,55,0,0,3,0,0.0,18.3333,0.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Enugu North,South East,Enugu,Enugu North,,,61,0,0,4,0,0.0,15.25,0.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Enugu South,South East,Enugu,Enugu South,,,64,0,0,4,0,0.0,16.0,0.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Ezeagu,South East,Enugu,Ezeagu,,,93,0,0,4,0,0.0,23.25,0.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Igbo-Etiti,South East,Enugu,Igbo-Etiti,,,98,0,0,7,0,0.0,14.0,0.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Igbo-Eze North,South East,Enugu,Igbo-Eze North,,,93,0,0,5,0,0.0,18.6,0.0
2019/2020,Female,all,Private,Adult & Non-Formal,IQS/IQTS Stage 2,,lga,Igbo-Eze South,South East,Enugu,Igbo-Eze South,,,75,0,0,4,0,0.0,18.75,0.0
