"session","gender","disability_scope","exam_body","gap_band","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Dagona","North East","Yobe","Bade","Dagona","","0","24","16","8","8","0","0","8","8","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Gwio-Kura","North East","Yobe","Bade","Gwio-Kura","","0","89","67","33","26","8","0","22","34","8"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Katuzu","North East","Yobe","Bade","Katuzu","","0","111","70","33","36","0","0","41","37","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Damaturu Central","North East","Yobe","Damaturu","Damaturu Central","","0","38","29","8","8","0","0","9","21","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Asheikri","North East","Yobe","Geidam","Asheikri","","0","55","35","16","16","0","0","20","19","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Balle/Gallaba/Meleri","North East","Yobe","Geidam","Balle/Gallaba/Meleri","","0","75","51","25","16","9","0","24","26","9"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Bulabulin","North East","Yobe","Nguru","Bulabulin","","0","84","57","33","24","9","0","27","24","9"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Bulanguwa","North East","Yobe","Nguru","Bulanguwa","","0","50","38","17","17","0","0","12","21","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Dabule","North East","Yobe","Nguru","Dabule","","0","68","45","16","16","0","0","23","29","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Bolewa 'A'","North East","Yobe","Potiskum","Bolewa 'A'","","0","26","22","8","8","0","0","4","14","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Gwio-Kura","North East","Yobe","Bade","Gwio-Kura","","0","34","26","8","9","0","0","8","18","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Bindigari/Fawari","North East","Yobe","Damaturu","Bindigari/Fawari","","0","180","134","59","32","27","0","46","75","27"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Damakasu","North East","Yobe","Damaturu","Damakasu","","0","113","80","33","33","0","0","33","47","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Damaturu Central","North East","Yobe","Damaturu","Damaturu Central","","0","117","77","24","24","0","0","40","53","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Asheikri","North East","Yobe","Geidam","Asheikri","","0","36","26","8","8","0","0","10","18","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Balle/Gallaba/Meleri","North East","Yobe","Geidam","Balle/Gallaba/Meleri","","0","38","26","8","8","0","0","12","18","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Damakarwa/Kusur","North East","Yobe","Geidam","Damakarwa/Kusur","","0","29","19","8","8","0","0","10","11","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Bulabulin","North East","Yobe","Nguru","Bulabulin","","0","24","16","8","8","0","0","8","8","0"
