"session","gender","disability_scope","exam_body","gap_band","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Adakawa","North West","Kano","Dala","Adakawa","","0","106","65","29","20","9","0","41","36","9"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Bakin Ruwa","North West","Kano","Dala","Bakin Ruwa","","0","170","103","38","40","0","0","67","65","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Dala","North West","Kano","Dala","Dala","","0","43","25","9","10","0","0","18","16","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Fagge A","North West","Kano","Fagge","Fagge A","","0","61","33","10","10","0","0","28","23","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Fagge B","North West","Kano","Fagge","Fagge B","","0","32","25","10","10","0","0","7","15","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Fagge C","North West","Kano","Fagge","Fagge C","","0","61","33","10","10","0","0","28","23","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Dandago","North West","Kano","Gwale","Dandago","","0","68","45","19","10","9","0","23","26","9"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Dorayi","North West","Kano","Gwale","Dorayi","","0","72","42","20","20","0","0","30","22","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Chedi","North West","Kano","Kano Municipal","Chedi","","0","85","54","18","20","0","0","31","36","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Dan'agundi","North West","Kano","Kano Municipal","Dan'agundi","","0","110","70","18","20","0","0","40","52","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Gandun Albasa","North West","Kano","Kano Municipal","Gandun Albasa","","0","64","41","19","10","9","0","23","22","9"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Dakata","North West","Kano","Nasarawa","Dakata","","0","43","25","9","10","0","0","18","16","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Gama","North West","Kano","Nasarawa","Gama","","0","139","79","29","30","0","0","60","50","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Gawuna","North West","Kano","Nasarawa","Gawuna","","0","68","41","9","10","0","0","27","32","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Dala","North West","Kano","Dala","Dala","","0","61","37","9","10","0","0","24","28","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Fagge A","North West","Kano","Fagge","Fagge A","","0","28","16","10","10","0","0","12","6","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Fagge B","North West","Kano","Fagge","Fagge B","","0","103","62","20","20","0","0","41","42","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Fagge C","North West","Kano","Fagge","Fagge C","","0","61","37","10","10","0","0","24","27","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Dandago","North West","Kano","Gwale","Dandago","","0","53","29","10","10","0","0","24","19","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Diso","North West","Kano","Gwale","Diso","","0","110","70","29","20","9","0","40","41","9"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Dorayi","North West","Kano","Gwale","Dorayi","","0","117","70","38","20","18","0","47","32","18"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Chedi","North West","Kano","Kano Municipal","Chedi","","0","50","29","9","10","0","0","21","20","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Dan'agundi","North West","Kano","Kano Municipal","Dan'agundi","","0","78","53","18","20","0","0","25","35","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Dakata","North West","Kano","Nasarawa","Dakata","","0","100","58","20","20","0","0","42","38","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Gawuna","North West","Kano","Nasarawa","Gawuna","","0","100","62","19","20","0","0","38","43","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Adakawa","North West","Kano","Dala","Adakawa","","0","132","82","29","20","9","0","50","53","9"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Bakin Ruwa","North West","Kano","Dala","Bakin Ruwa","","0","32","21","10","10","0","0","11","11","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Dala","North West","Kano","Dala","Dala","","0","103","66","18","20","0","0","37","48","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Fagge A","North West","Kano","Fagge","Fagge A","","0","131","86","29","31","0","0","45","57","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Fagge B","North West","Kano","Fagge","Fagge B","","0","53","33","10","10","0","0","20","23","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Fagge C","North West","Kano","Fagge","Fagge C","","0","99","66","29","20","9","0","33","37","9"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Dandago","North West","Kano","Gwale","Dandago","","0","136","82","29","31","0","0","54","53","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Diso","North West","Kano","Gwale","Diso","","0","78","50","20","20","0","0","28","30","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Chedi","North West","Kano","Kano Municipal","Chedi","","0","75","49","19","20","0","0","26","30","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Gandun Albasa","North West","Kano","Kano Municipal","Gandun Albasa","","0","168","95","28","30","0","0","73","67","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Dakata","North West","Kano","Nasarawa","Dakata","","0","46","25","9","10","0","0","21","16","0"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Gama","North West","Kano","Nasarawa","Gama","","0","61","37","19","10","9","0","24","18","9"
"2019/2020","Female","all","NABTEB","1-year","University","ward","Gawuna","North West","Kano","Nasarawa","Gawuna","","0","32","25","10","10","0","0","7","15","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Adakawa","North West","Kano","Dala","Adakawa","","0","60","37","10","10","0","0","23","27","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Bakin Ruwa","North West","Kano","Dala","Bakin Ruwa","","0","103","66","28","30","0","0","37","38","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Dala","North West","Kano","Dala","Dala","","0","25","16","9","10","0","0","9","7","0"
"2019/2020","Female","all","NABTEB","2-year","College of Education","ward","Fagge A","North West","Kano","Fagge","Fagge A","","0","39","25","10","10","0","0","14","15","0"
