"session","gender","disability_scope","exam_body","gap_band","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Abak Urban I","South South","Akwa Ibom","Abak","Abak Urban I","","0","43","30","8","9","0","0","13","22","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Abak Urban III","South South","Akwa Ibom","Abak","Abak Urban III","","0","63","37","12","13","0","0","26","25","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Central I","South South","Akwa Ibom","Eket","Central I","","0","109","73","26","30","0","0","36","47","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Central III","South South","Akwa Ibom","Eket","Central III","","0","29","19","8","9","0","0","10","11","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ikot Ekpene I","South South","Akwa Ibom","Ikot Ekpene","Ikot Ekpene I","","0","26","19","8","4","4","0","7","11","4"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ikot Ekpene II","South South","Akwa Ibom","Ikot Ekpene","Ikot Ekpene II","","0","113","75","27","22","7","0","38","48","7"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ikot Ekpene III","South South","Akwa Ibom","Ikot Ekpene","Ikot Ekpene III","","0","75","51","19","17","2","0","24","32","2"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Oron Urban I","South South","Akwa Ibom","Oron","Oron Urban I","","0","34","22","8","9","0","0","12","14","0"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Oron Urban III","South South","Akwa Ibom","Oron","Oron Urban III","","0","41","30","11","9","2","0","11","19","2"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Etoi I","South South","Akwa Ibom","Uyo","Etoi I","","0","43","30","12","9","3","0","13","18","3"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Etoi II","South South","Akwa Ibom","Uyo","Etoi II","","0","60","41","12","8","4","0","19","29","4"
"2019/2020","Female","all","NABTEB","1-year","College of Education","ward","Ikono I","South South","Akwa Ibom","Uyo","Ikono I","","0","31","21","8","9","0","0","10","13","0"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Abak Urban I","South South","Akwa Ibom","Abak","Abak Urban I","","0","34","22","8","4","4","0","12","14","4"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Abak Urban II","South South","Akwa Ibom","Abak","Abak Urban II","","0","58","35","16","9","7","0","23","19","7"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Abak Urban III","South South","Akwa Ibom","Abak","Abak Urban III","","0","34","22","8","4","4","0","12","14","4"
"2019/2020","Female","all","NABTEB","1-year","Polytechnic","ward","Central I","South South","Akwa Ibom","Eket","Central I","","0","58","38","12","13","0","0","20","26","0"
