session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer,usable_classroom_count,laboratory_count,computer_access_count,water_source_count,handwashing_facility_count,toilet_count
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,Private,JSS,JSS1,JSS1,57.25,1.0,1.75,1.25,38.4,0.0,57.25,32.7143,45.8,0.67,0.38,0.17,0.65,0.47,0.46
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,148.0,1.0,4.75,3.25,37.4,0.0,148.0,31.1579,45.5385,2.95,0.28,0.17,0.72,0.52,0.51
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,Private,SSS,SSS1,SSS1,76.25,1.5,2.5,1.75,39.4,0.25,50.8333,30.5,43.5714,0.99,0.66,0.26,0.98,0.71,0.69
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,Public,JSS,JSS1,JSS1,256.25,3.5,7.0,4.75,38.4,0.0,73.2143,36.6071,53.9474,2.63,1.3,0.53,2.26,1.64,1.59
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,780.25,6.5,24.75,16.25,37.4,0.0,120.0385,31.5253,48.0154,13.54,1.81,1.05,4.53,3.28,3.2
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,all,Public,SSS,SSS1,SSS1,125.0,2.5,3.75,2.5,39.4,0.25,50.0,33.3333,50.0,1.35,1.09,0.4,1.6,1.17,1.13
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,19.2,0.0,3.0,6.0,6.0,0.24,0.21,0.39,0.34,0.23,0.21
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,4.25,0.5,0.25,0.25,18.7,0.0,8.5,17.0,17.0,0.14,0.11,0.15,0.25,0.17,0.17
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,Private,SSS,SSS1,SSS1,1.5,0.75,0.25,0.25,19.7,0.0,2.0,6.0,6.0,0.24,0.36,0.59,0.51,0.34,0.32
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,Public,JSS,JSS1,JSS1,5.5,1.75,0.25,0.25,19.2,0.0,3.1429,22.0,22.0,0.11,0.54,0.42,0.83,0.56,0.55
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,23.5,3.25,0.75,0.5,18.7,0.0,7.2308,31.3333,47.0,0.26,0.61,0.42,1.39,0.94,0.92
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Female,disabled,Public,SSS,SSS1,SSS1,2.75,1.25,0.25,0.25,19.7,0.0,2.2,11.0,11.0,0.21,0.52,0.56,0.76,0.52,0.5
2019/2020,North Central,Niger,Agaie,Baro,"Community Secondary School, Baro",Male,all,Private,JSS,JSS1,JSS1,55.25,1.0,1.75,1.25,38.4,0.0,55.25,31.5714,44.2,0.69,0.38,0.17,0.65,0.47,0.46
