"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Mpu","South East","Enugu","Aninri","Mpu","","96","95","53","17","13","4","1","42","36","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ndeabo","South East","Enugu","Aninri","Ndeabo","","96","95","53","21","17","4","1","42","32","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Oduma I","South East","Enugu","Aninri","Oduma I","","94","93","52","17","13","4","1","41","35","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Oduma Iv","South East","Enugu","Aninri","Oduma Iv","","90","89","53","21","17","4","1","36","32","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Agbogugu","South East","Enugu","Awgu","Agbogugu","","96","95","53","21","17","4","1","42","32","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Anikenano/Ugwueme","South East","Enugu","Awgu","Anikenano/Ugwueme","","105","103","59","17","17","0","2","44","42","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Mgbidi/Mmaku","South East","Enugu","Awgu","Mgbidi/Mmaku","","94","93","51","20","16","4","1","42","32","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Abakpa I","South East","Enugu","Enugu East","Abakpa I","","504","495","273","91","81","12","9","222","182","12"
"2019/2020","Female","all","NABTEB","College of Education","ward","Amorji","South East","Enugu","Enugu East","Amorji","","88","87","51","21","17","4","1","36","30","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ibagwa-Nike/Edem","South East","Enugu","Enugu East","Ibagwa-Nike/Edem","","54","53","29","12","12","0","1","24","17","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Mbulu-Njodo West","South East","Enugu","Enugu East","Mbulu-Njodo West","","110","108","64","21","17","4","2","44","43","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Mbuluiyiukwu","South East","Enugu","Enugu East","Mbuluiyiukwu","","64","63","37","12","12","0","1","26","25","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Trans-Ekulu","South East","Enugu","Enugu East","Trans-Ekulu","","64","63","37","12","12","0","1","26","25","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Nnenwe Ii","South East","Enugu","Aninri","Nnenwe Ii","","67","66","37","12","13","0","1","29","25","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Oduma I","South East","Enugu","Aninri","Oduma I","","90","89","51","21","17","4","1","38","30","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Oduma Iii","South East","Enugu","Aninri","Oduma Iii","","56","55","32","12","13","0","1","23","20","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Okpanku","South East","Enugu","Aninri","Okpanku","","93","92","59","25","21","4","1","33","34","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Awgu I","South East","Enugu","Awgu","Awgu I","","313","308","178","58","46","12","5","130","120","12"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Awgu Ii","South East","Enugu","Awgu","Awgu Ii","","98","97","59","21","17","4","1","38","38","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ihe","South East","Enugu","Awgu","Ihe","","72","71","40","17","17","0","1","31","23","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Obeagu","South East","Enugu","Awgu","Obeagu","","61","60","35","12","13","0","1","25","23","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ogbaku","South East","Enugu","Awgu","Ogbaku","","75","74","43","17","13","4","1","31","26","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Owelli/Amoli/Ugbo/Ogugu","South East","Enugu","Awgu","Owelli/Amoli/Ugbo/Ogugu","","56","55","32","17","17","0","1","23","15","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Abakpa I","South East","Enugu","Enugu East","Abakpa I","","88","87","51","17","16","2","1","36","34","2"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Abakpa Ii","South East","Enugu","Enugu East","Abakpa Ii","","54","53","29","12","12","0","1","24","17","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Amorji","South East","Enugu","Enugu East","Amorji","","219","216","130","37","34","4","3","86","93","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Mbulu-Njodo East","South East","Enugu","Enugu East","Mbulu-Njodo East","","290","286","164","54","42","12","4","122","110","12"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Mbulu-Njodo West","South East","Enugu","Enugu East","Mbulu-Njodo West","","56","55","31","10","10","0","1","24","21","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Mbuluiyiukwu","South East","Enugu","Enugu East","Mbuluiyiukwu","","54","53","32","12","12","0","1","21","20","0"
