"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Abogunde/Sagba","South West","Osun","Ede North","Abogunde/Sagba","","47","46","31","10","10","0","1","15","21","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ilare I","South West","Osun","Ife Central","Ilare I","","58","57","38","15","15","0","1","19","24","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ilare II","South West","Osun","Ife Central","Ilare II","","140","138","94","30","25","5","2","44","65","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Biladu","South West","Osun","Ilesha East","Biladu","","216","212","149","63","57","6","4","63","87","6"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ifosan/Oke-Eso","South West","Osun","Ilesha East","Ifosan/Oke-Eso","","112","110","82","34","31","3","2","28","49","3"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ereja","South West","Osun","Ilesha West","Ereja","","124","122","78","25","20","5","2","44","53","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Alagba","South West","Osun","Osogbo","Alagba","","226","222","147","55","51","5","4","75","92","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Are-Ago","South West","Osun","Osogbo","Are-Ago","","181","178","120","45","41","4","3","58","75","4"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ataoja  'A'","South West","Osun","Osogbo","Ataoja  'A'","","179","176","111","39","36","3","3","65","72","3"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Abogunde/Sagba","South West","Osun","Ede North","Abogunde/Sagba","","87","86","60","24","21","4","1","26","35","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Alusekere","South West","Osun","Ede North","Alusekere","","72","71","49","20","15","5","1","22","30","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Apaso","South West","Osun","Ede North","Apaso","","199","197","134","40","30","10","2","63","94","10"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Akarabata","South West","Osun","Ife Central","Akarabata","","204","201","144","55","47","8","3","57","90","8"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ilare I","South West","Osun","Ife Central","Ilare I","","66","65","47","25","21","4","1","18","22","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Biladu","South West","Osun","Ilesha East","Biladu","","47","46","31","15","15","0","1","15","16","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Bolorunduro","South West","Osun","Ilesha East","Bolorunduro","","259","255","177","70","62","8","4","78","107","8"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ifosan/Oke-Eso","South West","Osun","Ilesha East","Ifosan/Oke-Eso","","133","131","91","40","36","4","2","40","52","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ayeso","South West","Osun","Ilesha West","Ayeso","","283","279","182","65","57","8","4","97","118","8"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ereja","South West","Osun","Ilesha West","Ereja","","66","65","42","10","10","0","1","23","32","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ikoyi / Ikoti Araromi","South West","Osun","Ilesha West","Ikoyi / Ikoti Araromi","","158","156","97","25","25","0","2","59","73","0"
