"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Badau/Darhela","North West","Sokoto","Bodinga","Badau/Darhela","","151","149","93","42","36","7","2","56","52","7"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bangi/Dabaga","North West","Sokoto","Bodinga","Bangi/Dabaga","","193","190","123","51","45","7","3","67","73","7"
"2019/2020","Female","all","NABTEB","College of Education","ward","Magajin Gari 'A'","North West","Sokoto","Sokoto North","Magajin Gari 'A'","","63","62","36","16","17","0","1","26","19","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Magajin Rafi 'A'","North West","Sokoto","Sokoto North","Magajin Rafi 'A'","","193","191","131","50","45","7","2","60","81","7"
"2019/2020","Female","all","NABTEB","College of Education","ward","Magajin gari B","North West","Sokoto","Sokoto North","Magajin gari B","","108","106","70","41","36","5","2","36","28","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gagi 'B'","North West","Sokoto","Sokoto South","Gagi 'B'","","62","61","37","17","18","0","1","24","20","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gagi 'C'","North West","Sokoto","Sokoto South","Gagi 'C'","","103","101","63","25","26","0","2","38","38","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bagida/Lukkingo","North West","Sokoto","Tambuwal","Bagida/Lukkingo","","63","62","39","16","17","0","1","23","22","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bakaya/Sabon Birni","North West","Sokoto","Tambuwal","Bakaya/Sabon Birni","","122","120","80","25","18","7","2","40","55","7"
"2019/2020","Female","all","NABTEB","College of Education","ward","Barkeji/Nabaguda","North West","Sokoto","Tambuwal","Barkeji/Nabaguda","","220","217","144","66","63","5","3","73","77","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Arkilla","North West","Sokoto","Wamako","Arkilla","","173","170","110","42","44","0","3","60","68","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bado/Kasarawa","North West","Sokoto","Wamako","Bado/Kasarawa","","192","189","127","49","36","14","3","62","77","14"
"2019/2020","Female","all","NABTEB","College of Education","ward","Dundaye/Gumburawa","North West","Sokoto","Wamako","Dundaye/Gumburawa","","213","210","147","59","55","5","3","63","89","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Badau/Darhela","North West","Sokoto","Bodinga","Badau/Darhela","","103","101","66","25","18","7","2","35","41","7"
