session,gender,disability,school_type,school_level,class_grade,qualification_group,qualification_status,loc_level,loc_label,zone,state,lga,ward,school,student_count,teacher_count,pupil_teacher_ratio
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Qualified,Qualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,396,9,44.0
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Qualified,Qualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,33,1,33.0
2024/2025,Female,ALL,Public,Pre-Primary/Primary,,Unqualified,Unqualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,132,4,33.0
2024/2025,Female,Disabled,Public,Pre-Primary/Primary,,Unqualified,Unqualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,0,0,0.0
2024/2025,Female,ALL,Public,JSS,,Qualified,Qualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,132,4,33.0
2024/2025,Female,Disabled,Public,JSS,,Qualified,Qualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,0,0,0.0
2024/2025,Female,ALL,Public,JSS,,Unqualified,Unqualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,33,1,33.0
2024/2025,Female,Disabled,Public,JSS,,Unqualified,Unqualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,0,0,0.0
2024/2025,Female,ALL,Public,SSS,,Qualified,Qualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,132,3,44.0
2024/2025,Female,Disabled,Public,SSS,,Qualified,Qualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,0,0,0.0
2024/2025,Female,ALL,Public,SSS,,Unqualified,Unqualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,33,1,33.0
2024/2025,Female,Disabled,Public,SSS,,Unqualified,Unqualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,0,0,0.0
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Qualified,Qualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,33,1,33.0
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Qualified,Qualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,0,0,0.0
2024/2025,Female,ALL,Public,Adult & Non-Formal Education,,Unqualified,Unqualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,0,0,0.0
2024/2025,Female,Disabled,Public,Adult & Non-Formal Education,,Unqualified,Unqualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,0,0,0.0
2024/2025,Female,ALL,Public,Vocational,,Qualified,Qualified,ward,Alkaleri,North East,Bauchi,Alkaleri,Alkaleri,,33,1,33.0
