session,gender,disability_scope,exam_body,gap_band,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,0,223,131,45,49,0,0,92,86,0
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Okigwe,South East,Imo,Okigwe,,,0,127,72,25,15,10,0,55,47,10
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Orlu,South East,Imo,Orlu,,,0,110,64,30,15,15,0,46,34,15
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Owerri North,South East,Imo,Owerri North,,,0,72,42,15,10,5,0,30,27,5
2019/2020,Female,all,NABTEB,1-year,College of Education,lga,Owerri West,South East,Imo,Owerri West,,,0,189,107,41,32,10,0,82,66,10
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,0,123,75,30,25,5,0,48,45,5
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Okigwe,South East,Imo,Okigwe,,,0,201,115,45,42,5,0,86,70,5
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Orlu,South East,Imo,Orlu,,,0,231,134,52,42,10,0,97,82,10
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Owerri North,South East,Imo,Owerri North,,,0,203,122,45,42,5,0,81,77,5
2019/2020,Female,all,NABTEB,1-year,Polytechnic,lga,Owerri West,South East,Imo,Owerri West,,,0,28,16,5,5,0,0,12,11,0
2019/2020,Female,all,NABTEB,1-year,University,lga,Aboh Mbaise,South East,Imo,Aboh Mbaise,,,0,31,19,5,5,0,0,12,14,0
2019/2020,Female,all,NABTEB,1-year,University,lga,Okigwe,South East,Imo,Okigwe,,,0,115,70,20,21,0,0,45,50,0
2019/2020,Female,all,NABTEB,1-year,University,lga,Orlu,South East,Imo,Orlu,,,0,153,92,42,32,10,0,61,50,10
2019/2020,Female,all,NABTEB,1-year,University,lga,Owerri North,South East,Imo,Owerri North,,,0,141,80,30,26,5,0,61,50,5
2019/2020,Female,all,NABTEB,1-year,University,lga,Owerri West,South East,Imo,Owerri West,,,0,267,157,66,64,5,0,110,91,5
