"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","lga","Bonny","South South","Rivers","Bonny","","","679","669","369","126","112","17","10","300","243","17"
"2019/2020","Female","all","NABTEB","College of Education","lga","Eleme","South South","Rivers","Eleme","","","212","209","128","41","39","3","3","81","88","3"
"2019/2020","Female","all","NABTEB","College of Education","lga","Obio-Akpor","South South","Rivers","Obio-Akpor","","","377","372","209","67","58","9","5","163","142","9"
"2019/2020","Female","all","NABTEB","College of Education","lga","Okrika","South South","Rivers","Okrika","","","84","83","51","19","15","4","1","32","32","4"
"2019/2020","Female","all","NABTEB","College of Education","lga","Port Harcourt","South South","Rivers","Port Harcourt","","","402","396","230","79","68","11","6","166","152","11"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Bonny","South South","Rivers","Bonny","","","319","314","175","57","45","12","5","139","119","12"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Eleme","South South","Rivers","Eleme","","","419","413","242","82","73","10","6","171","161","10"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Obio-Akpor","South South","Rivers","Obio-Akpor","","","650","640","352","109","91","19","10","288","243","19"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Okrika","South South","Rivers","Okrika","","","155","153","85","30","24","6","2","68","55","6"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Port Harcourt","South South","Rivers","Port Harcourt","","","468","461","263","82","69","14","7","198","181","14"
"2019/2020","Female","all","NABTEB","University","lga","Bonny","South South","Rivers","Bonny","","","111","109","65","22","19","3","2","44","43","3"
"2019/2020","Female","all","NABTEB","University","lga","Eleme","South South","Rivers","Eleme","","","508","500","293","97","89","9","8","207","196","9"
"2019/2020","Female","all","NABTEB","University","lga","Obio-Akpor","South South","Rivers","Obio-Akpor","","","183","180","97","26","27","0","3","83","72","0"
"2019/2020","Female","all","NABTEB","University","lga","Okrika","South South","Rivers","Okrika","","","717","706","401","142","126","19","11","305","260","19"
"2019/2020","Female","all","NABTEB","University","lga","Port Harcourt","South South","Rivers","Port Harcourt","","","282","278","161","52","48","6","4","117","109","6"
"2019/2020","Female","all","NECO","College of Education","lga","Bonny","South South","Rivers","Bonny","","","1307","1287","733","293","272","21","20","554","440","21"
"2019/2020","Female","all","NECO","College of Education","lga","Eleme","South South","Rivers","Eleme","","","353","348","194","85","75","10","5","154","110","10"
"2019/2020","Female","all","NECO","College of Education","lga","Obio-Akpor","South South","Rivers","Obio-Akpor","","","703","692","388","145","136","9","11","304","243","9"
"2019/2020","Female","all","NECO","College of Education","lga","Okrika","South South","Rivers","Okrika","","","173","170","102","41","35","6","3","68","61","6"
"2019/2020","Female","all","NECO","College of Education","lga","Port Harcourt","South South","Rivers","Port Harcourt","","","725","714","405","167","148","19","11","309","238","19"
"2019/2020","Female","all","NECO","Polytechnic","lga","Bonny","South South","Rivers","Bonny","","","657","647","358","134","118","16","10","289","225","16"
"2019/2020","Female","all","NECO","Polytechnic","lga","Eleme","South South","Rivers","Eleme","","","765","754","438","166","149","17","11","316","272","17"
"2019/2020","Female","all","NECO","Polytechnic","lga","Obio-Akpor","South South","Rivers","Obio-Akpor","","","1333","1313","722","257","231","26","20","591","465","26"
"2019/2020","Female","all","NECO","Polytechnic","lga","Okrika","South South","Rivers","Okrika","","","300","295","168","68","66","2","5","127","101","2"
"2019/2020","Female","all","NECO","Polytechnic","lga","Port Harcourt","South South","Rivers","Port Harcourt","","","941","927","528","207","187","20","14","399","321","20"
