"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","lga","Esan Central","South South","Edo","Esan Central","","","384","378","234","100","92","9","6","144","134","9"
"2019/2020","Female","all","NABTEB","College of Education","lga","Etsako West","South South","Edo","Etsako West","","","226","223","140","61","51","10","3","83","79","10"
"2019/2020","Female","all","NABTEB","College of Education","lga","Oredo","South South","Edo","Oredo","","","657","647","405","156","133","23","10","242","249","23"
"2019/2020","Female","all","NABTEB","College of Education","lga","Owan East","South South","Edo","Owan East","","","680","671","413","160","134","26","9","258","253","26"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Esan Central","South South","Edo","Esan Central","","","168","165","106","39","35","4","3","59","67","4"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Etsako West","South South","Edo","Etsako West","","","307","303","181","75","67","9","4","122","106","9"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Oredo","South South","Edo","Oredo","","","467","459","273","115","102","13","8","186","158","13"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Owan East","South South","Edo","Owan East","","","230","226","137","54","50","4","4","89","83","4"
"2019/2020","Female","all","NABTEB","University","lga","Esan Central","South South","Edo","Esan Central","","","438","432","259","100","81","19","6","173","159","19"
"2019/2020","Female","all","NABTEB","University","lga","Etsako West","South South","Edo","Etsako West","","","465","458","275","110","93","17","7","183","165","17"
"2019/2020","Female","all","NABTEB","University","lga","Oredo","South South","Edo","Oredo","","","870","858","511","184","163","23","12","347","328","23"
"2019/2020","Female","all","NABTEB","University","lga","Owan East","South South","Edo","Owan East","","","215","211","124","39","35","4","4","87","85","4"
"2019/2020","Female","all","NECO","College of Education","lga","Esan Central","South South","Edo","Esan Central","","","787","776","483","176","155","21","11","293","307","21"
"2019/2020","Female","all","NECO","College of Education","lga","Etsako West","South South","Edo","Etsako West","","","397","392","244","96","83","13","5","148","148","13"
"2019/2020","Female","all","NECO","College of Education","lga","Oredo","South South","Edo","Oredo","","","1215","1197","727","251","217","34","18","470","476","34"
"2019/2020","Female","all","NECO","College of Education","lga","Owan East","South South","Edo","Owan East","","","1291","1272","774","255","225","30","19","498","518","30"
"2019/2020","Female","all","NECO","Polytechnic","lga","Esan Central","South South","Edo","Esan Central","","","370","364","222","76","67","9","6","142","146","9"
"2019/2020","Female","all","NECO","Polytechnic","lga","Etsako West","South South","Edo","Etsako West","","","569","561","336","111","95","16","8","225","225","16"
"2019/2020","Female","all","NECO","Polytechnic","lga","Oredo","South South","Edo","Oredo","","","885","872","524","167","143","25","13","348","357","25"
"2019/2020","Female","all","NECO","Polytechnic","lga","Owan East","South South","Edo","Owan East","","","466","459","286","108","96","12","7","173","178","12"
"2019/2020","Female","all","NECO","University","lga","Esan Central","South South","Edo","Esan Central","","","798","786","483","163","145","18","12","303","320","18"
"2019/2020","Female","all","NECO","University","lga","Etsako West","South South","Edo","Etsako West","","","884","870","542","179","162","17","14","328","363","17"
"2019/2020","Female","all","NECO","University","lga","Oredo","South South","Edo","Oredo","","","1703","1680","999","343","300","43","23","681","656","43"
"2019/2020","Female","all","NECO","University","lga","Owan East","South South","Edo","Owan East","","","387","381","224","67","58","10","6","157","157","10"
"2019/2020","Female","all","WAEC","College of Education","lga","Esan Central","South South","Edo","Esan Central","","","965","950","579","246","223","23","15","371","333","23"
"2019/2020","Female","all","WAEC","College of Education","lga","Etsako West","South South","Edo","Etsako West","","","533","525","324","129","117","12","8","201","196","12"
"2019/2020","Female","all","WAEC","College of Education","lga","Oredo","South South","Edo","Oredo","","","1596","1573","955","378","343","35","23","618","577","35"
"2019/2020","Female","all","WAEC","College of Education","lga","Owan East","South South","Edo","Owan East","","","1658","1634","979","364","331","33","24","655","616","33"
"2019/2020","Female","all","WAEC","Polytechnic","lga","Esan Central","South South","Edo","Esan Central","","","419","413","261","102","88","14","6","152","160","14"
"2019/2020","Female","all","WAEC","Polytechnic","lga","Etsako West","South South","Edo","Etsako West","","","747","735","445","171","154","17","12","290","274","17"
"2019/2020","Female","all","WAEC","Polytechnic","lga","Oredo","South South","Edo","Oredo","","","1156","1138","686","276","257","19","18","452","410","19"
"2019/2020","Female","all","WAEC","Polytechnic","lga","Owan East","South South","Edo","Owan East","","","563","554","344","124","118","6","9","210","220","6"
"2019/2020","Female","all","WAEC","University","lga","Esan Central","South South","Edo","Esan Central","","","984","969","592","238","219","19","15","377","354","19"
"2019/2020","Female","all","WAEC","University","lga","Etsako West","South South","Edo","Etsako West","","","1162","1145","707","280","249","31","17","438","427","31"
"2019/2020","Female","all","WAEC","University","lga","Oredo","South South","Edo","Oredo","","","2198","2165","1302","509","469","40","33","863","792","40"
"2019/2020","Female","all","WAEC","University","lga","Owan East","South South","Edo","Owan East","","","527","519","305","98","84","14","8","214","208","14"
"2019/2020","Female","disabled","NABTEB","College of Education","lga","Esan Central","South South","Edo","Esan Central","","","56","56","31","20","20","0","0","25","12","0"
"2019/2020","Female","disabled","NABTEB","College of Education","lga","Etsako West","South South","Edo","Etsako West","","","31","31","18","10","10","0","0","13","8","0"
"2019/2020","Female","disabled","NABTEB","College of Education","lga","Oredo","South South","Edo","Oredo","","","82","82","49","25","25","0","0","33","24","0"
"2019/2020","Female","disabled","NABTEB","College of Education","lga","Owan East","South South","Edo","Owan East","","","79","79","44","25","25","0","0","35","19","0"
"2019/2020","Female","disabled","NABTEB","Polytechnic","lga","Esan Central","South South","Edo","Esan Central","","","21","21","11","10","10","0","0","10","2","0"
"2019/2020","Female","disabled","NABTEB","Polytechnic","lga","Etsako West","South South","Edo","Etsako West","","","43","43","23","20","20","0","0","20","4","0"
"2019/2020","Female","disabled","NABTEB","Polytechnic","lga","Oredo","South South","Edo","Oredo","","","66","66","38","25","25","0","0","28","13","0"
"2019/2020","Female","disabled","NABTEB","Polytechnic","lga","Owan East","South South","Edo","Owan East","","","30","30","18","15","15","0","0","12","3","0"
"2019/2020","Female","disabled","NABTEB","University","lga","Esan Central","South South","Edo","Esan Central","","","54","54","29","15","15","0","0","25","15","0"
"2019/2020","Female","disabled","NABTEB","University","lga","Etsako West","South South","Edo","Etsako West","","","59","59","34","25","25","0","0","25","9","0"
"2019/2020","Female","disabled","NABTEB","University","lga","Oredo","South South","Edo","Oredo","","","117","117","66","40","40","0","0","51","26","0"
"2019/2020","Female","disabled","NABTEB","University","lga","Owan East","South South","Edo","Owan East","","","20","20","12","5","5","0","0","8","7","0"
"2019/2020","Female","disabled","NECO","College of Education","lga","Esan Central","South South","Edo","Esan Central","","","98","98","56","20","20","0","0","42","36","0"
"2019/2020","Female","disabled","NECO","College of Education","lga","Etsako West","South South","Edo","Etsako West","","","38","38","21","12","12","0","0","17","9","0"
"2019/2020","Female","disabled","NECO","College of Education","lga","Oredo","South South","Edo","Oredo","","","138","137","77","24","24","0","1","60","53","0"
"2019/2020","Female","disabled","NECO","College of Education","lga","Owan East","South South","Edo","Owan East","","","136","136","78","28","28","0","0","58","50","0"
"2019/2020","Female","disabled","NECO","Polytechnic","lga","Esan Central","South South","Edo","Esan Central","","","37","37","21","8","8","0","0","16","13","0"
"2019/2020","Female","disabled","NECO","Polytechnic","lga","Etsako West","South South","Edo","Etsako West","","","56","56","34","12","12","0","0","22","22","0"
"2019/2020","Female","disabled","NECO","Polytechnic","lga","Oredo","South South","Edo","Oredo","","","101","101","60","20","20","0","0","41","40","0"
"2019/2020","Female","disabled","NECO","Polytechnic","lga","Owan East","South South","Edo","Owan East","","","49","49","29","12","12","0","0","20","17","0"
"2019/2020","Female","disabled","NECO","University","lga","Esan Central","South South","Edo","Esan Central","","","82","82","47","20","20","0","0","35","27","0"
"2019/2020","Female","disabled","NECO","University","lga","Etsako West","South South","Edo","Etsako West","","","103","103","59","20","20","0","0","44","39","0"
"2019/2020","Female","disabled","NECO","University","lga","Oredo","South South","Edo","Oredo","","","185","185","105","44","44","0","0","80","61","0"
"2019/2020","Female","disabled","NECO","University","lga","Owan East","South South","Edo","Owan East","","","40","40","21","4","4","0","0","19","17","0"
"2019/2020","Female","disabled","WAEC","College of Education","lga","Esan Central","South South","Edo","Esan Central","","","114","113","68","24","25","0","1","45","44","0"
"2019/2020","Female","disabled","WAEC","College of Education","lga","Etsako West","South South","Edo","Etsako West","","","47","47","28","12","12","0","0","19","16","0"
"2019/2020","Female","disabled","WAEC","College of Education","lga","Oredo","South South","Edo","Oredo","","","180","179","103","36","37","0","1","76","67","0"
"2019/2020","Female","disabled","WAEC","College of Education","lga","Owan East","South South","Edo","Owan East","","","169","168","94","31","31","0","1","74","63","0"
"2019/2020","Female","disabled","WAEC","Polytechnic","lga","Esan Central","South South","Edo","Esan Central","","","47","47","28","8","8","0","0","19","20","0"
"2019/2020","Female","disabled","WAEC","Polytechnic","lga","Etsako West","South South","Edo","Etsako West","","","74","74","44","16","16","0","0","30","28","0"
"2019/2020","Female","disabled","WAEC","Polytechnic","lga","Oredo","South South","Edo","Oredo","","","132","131","76","28","28","0","1","55","48","0"
"2019/2020","Female","disabled","WAEC","Polytechnic","lga","Owan East","South South","Edo","Owan East","","","57","57","34","12","12","0","0","23","23","0"
"2019/2020","Female","disabled","WAEC","University","lga","Esan Central","South South","Edo","Esan Central","","","103","103","58","23","24","0","0","45","35","0"
"2019/2020","Female","disabled","WAEC","University","lga","Etsako West","South South","Edo","Etsako West","","","129","129","74","28","29","0","0","55","46","0"
"2019/2020","Female","disabled","WAEC","University","lga","Oredo","South South","Edo","Oredo","","","233","233","132","48","48","0","0","101","84","0"
"2019/2020","Female","disabled","WAEC","University","lga","Owan East","South South","Edo","Owan East","","","53","53","30","8","8","0","0","23","22","0"
"2019/2020","Male","all","NABTEB","College of Education","lga","Esan Central","South South","Edo","Esan Central","","","430","424","265","95","81","14","6","159","169","14"
"2019/2020","Male","all","NABTEB","College of Education","lga","Etsako West","South South","Edo","Etsako West","","","211","208","129","44","35","10","3","79","85","10"
"2019/2020","Male","all","NABTEB","College of Education","lga","Oredo","South South","Edo","Oredo","","","670","661","411","140","118","22","9","250","271","22"
"2019/2020","Male","all","NABTEB","College of Education","lga","Owan East","South South","Edo","Owan East","","","772","760","457","156","134","23","12","303","300","23"
"2019/2020","Male","all","NABTEB","Polytechnic","lga","Esan Central","South South","Edo","Esan Central","","","204","201","121","40","31","9","3","80","82","9"
"2019/2020","Male","all","NABTEB","Polytechnic","lga","Etsako West","South South","Edo","Etsako West","","","328","323","194","64","51","14","5","129","130","14"
"2019/2020","Male","all","NABTEB","Polytechnic","lga","Oredo","South South","Edo","Oredo","","","508","500","304","100","92","9","8","196","205","8"
"2019/2020","Male","all","NABTEB","Polytechnic","lga","Owan East","South South","Edo","Owan East","","","238","234","146","49","44","5","4","88","97","5"
"2019/2020","Male","all","NABTEB","University","lga","Esan Central","South South","Edo","Esan Central","","","491","483","294","109","88","22","8","189","185","22"
"2019/2020","Male","all","NABTEB","University","lga","Etsako West","South South","Edo","Etsako West","","","496","489","295","79","64","15","7","194","215","15"
"2019/2020","Male","all","NABTEB","University","lga","Oredo","South South","Edo","Oredo","","","1004","990","587","184","158","27","14","403","404","27"
"2019/2020","Male","all","NABTEB","University","lga","Owan East","South South","Edo","Owan East","","","198","195","119","30","20","10","3","76","89","10"
"2019/2020","Male","all","NECO","College of Education","lga","Esan Central","South South","Edo","Esan Central","","","850","838","506","172","149","23","12","332","334","23"
"2019/2020","Male","all","NECO","College of Education","lga","Etsako West","South South","Edo","Etsako West","","","408","402","242","92","84","8","6","160","150","8"
"2019/2020","Male","all","NECO","College of Education","lga","Oredo","South South","Edo","Oredo","","","1268","1249","771","240","213","27","19","478","532","27"
"2019/2020","Male","all","NECO","College of Education","lga","Owan East","South South","Edo","Owan East","","","1388","1368","829","244","212","32","20","539","585","32"
"2019/2020","Male","all","NECO","Polytechnic","lga","Esan Central","South South","Edo","Esan Central","","","437","431","268","89","79","10","6","163","180","10"
"2019/2020","Male","all","NECO","Polytechnic","lga","Etsako West","South South","Edo","Etsako West","","","622","613","374","116","100","16","9","239","259","16"
"2019/2020","Male","all","NECO","Polytechnic","lga","Oredo","South South","Edo","Oredo","","","980","965","602","196","171","25","15","363","406","25"
"2019/2020","Male","all","NECO","Polytechnic","lga","Owan East","South South","Edo","Owan East","","","472","464","284","92","80","12","8","180","192","12"
