"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","lga","Ankpa","North Central","Kogi","Ankpa","","","239","235","142","61","52","10","4","93","80","10"
"2019/2020","Female","all","NABTEB","College of Education","lga","Idah","North Central","Kogi","Idah","","","383","378","217","83","78","5","5","161","134","5"
"2019/2020","Female","all","NABTEB","College of Education","lga","Kabba/Bunu","North Central","Kogi","Kabba/Bunu","","","647","636","365","122","106","16","11","271","243","16"
"2019/2020","Female","all","NABTEB","College of Education","lga","Okene","North Central","Kogi","Okene","","","414","408","230","78","76","5","6","178","152","5"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Ankpa","North Central","Kogi","Ankpa","","","634","624","358","123","113","11","10","266","235","11"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Idah","North Central","Kogi","Idah","","","169","166","96","39","34","5","3","70","57","5"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Kabba/Bunu","North Central","Kogi","Kabba/Bunu","","","330","325","193","67","57","10","5","132","127","10"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Lokoja","North Central","Kogi","Lokoja","","","444","437","252","89","79","11","7","185","163","11"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Okene","North Central","Kogi","Okene","","","63","62","32","6","6","0","1","30","26","0"
"2019/2020","Female","all","NABTEB","University","lga","Ankpa","North Central","Kogi","Ankpa","","","333","328","178","62","51","11","5","150","116","11"
"2019/2020","Female","all","NABTEB","University","lga","Idah","North Central","Kogi","Idah","","","358","353","202","72","62","10","5","151","130","10"
"2019/2020","Female","all","NABTEB","University","lga","Kabba/Bunu","North Central","Kogi","Kabba/Bunu","","","130","128","68","17","17","0","2","60","51","0"
"2019/2020","Female","all","NABTEB","University","lga","Lokoja","North Central","Kogi","Lokoja","","","817","805","468","157","136","21","12","337","310","21"
"2019/2020","Female","all","NABTEB","University","lga","Okene","North Central","Kogi","Okene","","","470","464","275","96","87","11","6","189","179","11"
"2019/2020","Female","all","NECO","College of Education","lga","Ankpa","North Central","Kogi","Ankpa","","","453","446","254","99","87","12","7","192","155","12"
"2019/2020","Female","all","NECO","College of Education","lga","Idah","North Central","Kogi","Idah","","","741","731","432","171","153","18","10","299","261","18"
"2019/2020","Female","all","NECO","College of Education","lga","Kabba/Bunu","North Central","Kogi","Kabba/Bunu","","","1282","1263","712","246","220","26","19","551","466","26"
"2019/2020","Female","all","NECO","College of Education","lga","Okene","North Central","Kogi","Okene","","","764","753","426","156","143","13","11","327","270","13"
"2019/2020","Female","all","NECO","Polytechnic","lga","Ankpa","North Central","Kogi","Ankpa","","","1135","1118","635","226","205","21","17","483","410","21"
"2019/2020","Female","all","NECO","Polytechnic","lga","Idah","North Central","Kogi","Idah","","","293","289","170","66","61","5","4","119","104","5"
"2019/2020","Female","all","NECO","Polytechnic","lga","Kabba/Bunu","North Central","Kogi","Kabba/Bunu","","","630","621","355","123","113","10","9","266","233","10"
"2019/2020","Female","all","NECO","Polytechnic","lga","Lokoja","North Central","Kogi","Lokoja","","","812","800","466","179","162","17","12","334","287","17"
"2019/2020","Female","all","NECO","Polytechnic","lga","Okene","North Central","Kogi","Okene","","","146","144","78","24","20","4","2","66","54","4"
"2019/2020","Female","all","NECO","University","lga","Ankpa","North Central","Kogi","Ankpa","","","678","668","377","114","102","12","10","291","264","12"
"2019/2020","Female","all","NECO","University","lga","Idah","North Central","Kogi","Idah","","","656","646","372","138","127","12","10","274","234","12"
"2019/2020","Female","all","NECO","University","lga","Kabba/Bunu","North Central","Kogi","Kabba/Bunu","","","248","244","130","33","25","8","4","114","97","8"
"2019/2020","Female","all","NECO","University","lga","Lokoja","North Central","Kogi","Lokoja","","","1583","1559","893","302","272","30","24","666","591","30"
"2019/2020","Female","all","NECO","University","lga","Okene","North Central","Kogi","Okene","","","982","969","578","207","189","19","13","391","371","19"
"2019/2020","Female","all","WAEC","College of Education","lga","Ankpa","North Central","Kogi","Ankpa","","","644","635","386","158","140","18","9","249","228","18"
"2019/2020","Female","all","WAEC","College of Education","lga","Idah","North Central","Kogi","Idah","","","928","915","535","218","196","22","13","380","317","22"
"2019/2020","Female","all","WAEC","College of Education","lga","Kabba/Bunu","North Central","Kogi","Kabba/Bunu","","","1635","1612","913","326","287","39","23","699","587","39"
"2019/2020","Female","all","WAEC","College of Education","lga","Okene","North Central","Kogi","Okene","","","1034","1019","577","214","191","23","15","442","364","23"
"2019/2020","Female","all","WAEC","Polytechnic","lga","Ankpa","North Central","Kogi","Ankpa","","","1486","1463","833","299","263","36","23","630","534","36"
"2019/2020","Female","all","WAEC","Polytechnic","lga","Idah","North Central","Kogi","Idah","","","397","391","218","81","73","8","6","173","138","8"
"2019/2020","Female","all","WAEC","Polytechnic","lga","Kabba/Bunu","North Central","Kogi","Kabba/Bunu","","","812","800","449","162","140","22","12","351","287","22"
"2019/2020","Female","all","WAEC","Polytechnic","lga","Lokoja","North Central","Kogi","Lokoja","","","1047","1032","597","217","194","23","15","435","380","23"
"2019/2020","Female","all","WAEC","Polytechnic","lga","Okene","North Central","Kogi","Okene","","","166","164","91","24","21","3","2","73","68","3"
"2019/2020","Female","all","WAEC","University","lga","Ankpa","North Central","Kogi","Ankpa","","","802","789","428","137","119","18","13","361","291","18"
"2019/2020","Female","all","WAEC","University","lga","Idah","North Central","Kogi","Idah","","","829","817","466","176","157","19","12","351","290","19"
