"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","lga","Bungudu","North West","Zamfara","Bungudu","","","339","333","244","95","87","10","6","89","150","10"
"2019/2020","Female","all","NABTEB","College of Education","lga","Gusau","North West","Zamfara","Gusau","","","538","529","372","136","123","15","9","157","236","15"
"2019/2020","Female","all","NABTEB","College of Education","lga","Kaura Namoda","North West","Zamfara","Kaura Namoda","","","522","513","370","164","153","14","9","143","206","14"
"2019/2020","Female","all","NABTEB","College of Education","lga","Maru","North West","Zamfara","Maru","","","342","337","239","89","81","10","5","98","150","10"
"2019/2020","Female","all","NABTEB","College of Education","lga","Talata Mafara","North West","Zamfara","Talata Mafara","","","474","467","321","103","94","11","7","146","218","11"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Bungudu","North West","Zamfara","Bungudu","","","755","742","530","232","218","19","13","212","298","19"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Gusau","North West","Zamfara","Gusau","","","112","110","80","33","28","5","2","30","46","5"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Kaura Namoda","North West","Zamfara","Kaura Namoda","","","304","300","209","76","80","0","4","91","133","0"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Maru","North West","Zamfara","Maru","","","256","252","183","68","58","10","4","69","115","10"
"2019/2020","Female","all","NABTEB","Polytechnic","lga","Talata Mafara","North West","Zamfara","Talata Mafara","","","224","220","155","63","59","6","4","65","92","6"
"2019/2020","Female","all","NABTEB","University","lga","Gusau","North West","Zamfara","Gusau","","","380","375","262","97","88","12","5","113","165","12"
"2019/2020","Female","all","NABTEB","University","lga","Kaura Namoda","North West","Zamfara","Kaura Namoda","","","113","111","78","34","36","0","2","33","44","0"
"2019/2020","Female","all","NABTEB","University","lga","Maru","North West","Zamfara","Maru","","","526","517","370","146","124","24","9","147","224","24"
"2019/2020","Female","all","NABTEB","University","lga","Talata Mafara","North West","Zamfara","Talata Mafara","","","407","401","288","110","102","11","6","113","179","11"
"2019/2020","Female","all","NECO","College of Education","lga","Bungudu","North West","Zamfara","Bungudu","","","684","674","488","174","153","21","10","186","314","21"
