"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","gap_band","institution_type","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","ss3_total","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","all","NABTEB","1-year","University","50","35","12","13","0","1.0","0","0","15","23","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","all","NABTEB","2-year","University","31","22","8","9","0","2.0","0","0","9","14","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","all","NABTEB","3-5-year","University","22","13","8","5","3","1.5","0","0","9","5","3"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","all","NABTEB","5+-year","University","12","8","4","5","0","1.5","0","0","4","4","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","all","NECO","1-year","University","87","57","21","15","6","1.0","0","0","30","36","6"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","all","NECO","2-year","University","53","32","11","11","0","2.0","0","0","21","21","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","all","NECO","3-5-year","University","34","22","7","7","0","1.5","0","0","12","15","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","all","NECO","5+-year","University","21","12","3","4","0","1.5","0","0","9","9","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","all","WAEC","1-year","University","129","91","34","29","5","1.0","0","0","38","57","5"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","all","WAEC","2-year","University","81","57","22","19","3","2.0","0","0","24","35","3"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","all","WAEC","3-5-year","University","60","42","16","13","3","1.5","0","0","18","26","3"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","all","WAEC","5+-year","University","28","18","6","6","0","1.5","0","0","10","12","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","disabled","NABTEB","1-year","University","7","3","4","5","0","1.0","0","0","4","0","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","disabled","NABTEB","2-year","University","5","3","0","0","0","2.0","0","0","2","3","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","disabled","NABTEB","3-5-year","University","2","3","0","0","0","1.5","0","0","0","3","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","disabled","NABTEB","5+-year","University","0","0","0","0","0","1.5","0","0","0","0","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","disabled","NECO","1-year","University","10","5","4","4","0","1.0","0","0","5","1","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","disabled","NECO","2-year","University","5","2","0","0","0","2.0","0","0","3","2","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","disabled","NECO","3-5-year","University","3","2","0","0","0","1.5","0","0","1","2","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","disabled","NECO","5+-year","University","3","2","0","0","0","1.5","0","0","1","2","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","disabled","WAEC","1-year","University","15","11","3","3","0","1.0","0","0","4","8","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","disabled","WAEC","2-year","University","10","7","3","3","0","2.0","0","0","3","4","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","disabled","WAEC","3-5-year","University","8","5","0","0","0","1.5","0","0","3","5","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Female","disabled","WAEC","5+-year","University","2","2","0","0","0","1.5","0","0","0","2","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Male","all","NABTEB","1-year","University","65","43","15","17","0","1.0","0","0","22","28","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Male","all","NABTEB","2-year","University","43","30","11","9","2","2.0","0","0","13","19","2"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Male","all","NABTEB","3-5-year","University","26","19","8","4","4","1.5","0","0","7","11","4"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Male","all","NABTEB","5+-year","University","10","8","0","0","0","1.5","0","0","2","8","0"
"2019/2020","South South","Akwa Ibom","Abak","Abak Urban I","Community Secondary School, Abak Urban I","Male","all","NECO","1-year","University","100","64","21","19","2","1.0","0","0","36","43","2"
