session,zone,state,lga,ward,school,gender,disability_scope,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,NABTEB,1-year,College of Education,26,15,4,5,0,1.0,0,0,11,11,0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,NABTEB,2-year,College of Education,17,10,4,5,0,2.0,0,0,7,6,0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,NABTEB,3-5-year,College of Education,10,5,4,5,0,1.5,0,0,5,1,0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,NABTEB,5+-year,College of Education,7,5,0,0,0,1.5,0,0,2,5,0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,NECO,1-year,College of Education,48,27,13,9,4,1.0,0,0,21,14,4
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,NECO,2-year,College of Education,28,16,4,4,0,2.0,0,0,12,12,0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,NECO,3-5-year,College of Education,20,11,4,4,0,1.5,0,0,9,7,0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,NECO,5+-year,College of Education,13,7,4,4,0,1.5,0,0,6,3,0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,WAEC,1-year,College of Education,67,41,17,15,2,1.0,0,0,26,24,2
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,WAEC,2-year,College of Education,42,25,10,7,3,2.0,0,0,17,15,3
