"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","gap_band","institution_type","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","ss3_total","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","all","NABTEB","1-year","Polytechnic","46","31","11","11","0","1.0","0","0","15","20","0"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","all","NABTEB","2-year","Polytechnic","31","19","6","5","1","2.0","0","0","12","13","1"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","all","NABTEB","3-5-year","Polytechnic","18","12","6","6","0","1.5","0","0","6","6","0"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","all","NABTEB","5+-year","Polytechnic","10","6","6","0","6","1.5","0","0","4","0","6"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","all","NECO","1-year","Polytechnic","81","59","24","21","3","1.0","0","0","22","35","3"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","all","NECO","2-year","Polytechnic","53","36","14","10","4","2.0","0","0","17","22","4"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","all","NECO","3-5-year","Polytechnic","31","22","9","10","0","1.5","0","0","9","13","0"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","all","NECO","5+-year","Polytechnic","17","11","5","5","0","1.5","0","0","6","6","0"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","all","WAEC","1-year","Polytechnic","105","76","30","27","3","1.0","0","0","29","46","3"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","all","WAEC","2-year","Polytechnic","62","43","17","13","4","2.0","0","0","19","26","4"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","all","WAEC","3-5-year","Polytechnic","40","30","9","9","0","1.5","0","0","10","21","0"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","all","WAEC","5+-year","Polytechnic","16","10","4","4","0","1.5","0","0","6","6","0"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","disabled","NABTEB","1-year","Polytechnic","5","3","6","6","0","1.0","0","0","2","0","0"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","disabled","NABTEB","2-year","Polytechnic","2","3","0","0","0","2.0","0","0","0","3","0"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","disabled","NABTEB","3-5-year","Polytechnic","2","0","0","0","0","1.5","0","0","2","0","0"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","disabled","NABTEB","5+-year","Polytechnic","0","0","0","0","0","1.5","0","0","0","0","0"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","disabled","NECO","1-year","Polytechnic","8","5","5","5","0","1.0","0","0","3","0","0"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","disabled","NECO","2-year","Polytechnic","5","3","0","0","0","2.0","0","0","2","3","0"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","disabled","NECO","3-5-year","Polytechnic","3","3","0","0","0","1.5","0","0","0","3","0"
"2019/2020","South South","Delta","Oshimili North","Akwukwu","Community Secondary School, Akwukwu","Female","disabled","NECO","5+-year","Polytechnic","0","0","0","0","0","1.5","0","0","0","0","0"
