session,zone,state,lga,ward,school,gender,disability_scope,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,NABTEB,1-year,College of Education,39,20,9,5,4,1.0,0,0,19,11,4
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,NABTEB,2-year,College of Education,23,13,4,5,0,2.0,0,0,10,9,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,NABTEB,3-5-year,College of Education,17,9,4,5,0,1.5,0,0,8,5,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,NABTEB,5+-year,College of Education,8,5,0,0,0,1.5,0,0,3,5,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,NECO,1-year,College of Education,62,36,15,13,2,1.0,0,0,26,21,2
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,NECO,2-year,College of Education,42,24,8,9,0,2.0,0,0,18,16,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,NECO,3-5-year,College of Education,25,14,4,4,0,1.5,0,0,11,10,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,NECO,5+-year,College of Education,18,10,4,4,0,1.5,0,0,8,6,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,WAEC,1-year,College of Education,97,57,16,17,0,1.0,0,0,40,41,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,WAEC,2-year,College of Education,64,39,12,10,2,2.0,0,0,25,27,2
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,WAEC,3-5-year,College of Education,32,20,6,7,0,1.5,0,0,12,14,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,all,WAEC,5+-year,College of Education,30,18,6,3,3,1.5,0,0,12,12,3
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,NABTEB,1-year,College of Education,4,2,0,0,0,1.0,0,0,2,2,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,NABTEB,2-year,College of Education,2,2,0,0,0,2.0,0,0,0,2,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,NABTEB,3-5-year,College of Education,2,0,0,0,0,1.5,0,0,2,0,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,NABTEB,5+-year,College of Education,0,0,0,0,0,1.5,0,0,0,0,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,NECO,1-year,College of Education,9,4,4,4,0,1.0,0,0,5,0,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,NECO,2-year,College of Education,5,2,0,0,0,2.0,0,0,3,2,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,NECO,3-5-year,College of Education,2,2,0,0,0,1.5,0,0,0,2,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,NECO,5+-year,College of Education,2,2,0,0,0,1.5,0,0,0,2,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,WAEC,1-year,College of Education,11,5,3,3,0,1.0,0,0,6,2,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,WAEC,2-year,College of Education,6,3,0,0,0,2.0,0,0,3,3,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,WAEC,3-5-year,College of Education,6,3,0,0,0,1.5,0,0,3,3,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Female,disabled,WAEC,5+-year,College of Education,2,2,0,0,0,1.5,0,0,0,2,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,all,NABTEB,1-year,College of Education,37,22,4,5,0,1.0,0,0,15,18,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,all,NABTEB,2-year,College of Education,23,13,4,5,0,2.0,0,0,10,9,0
2019/2020,North East,Gombe,Balanga,Bambam,"Community Secondary School, Bambam",Male,all,NABTEB,3-5-year,College of Education,15,9,4,0,4,1.5,0,0,6,5,4
