session,zone,state,lga,ward,school,gender,disability_scope,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,NABTEB,1-year,College of Education,31,17,6,8,0,1.0,0,0,14,11,0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,NABTEB,2-year,College of Education,19,12,6,8,0,2.0,0,0,7,6,0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,NABTEB,3-5-year,College of Education,11,6,0,0,0,1.5,0,0,5,6,0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,NABTEB,5+-year,College of Education,8,3,0,0,0,1.5,0,0,5,3,0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,NECO,1-year,College of Education,51,29,10,6,4,1.0,0,0,22,19,4
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,NECO,2-year,College of Education,30,18,5,6,0,2.0,0,0,12,13,0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,NECO,3-5-year,College of Education,21,10,5,6,0,1.5,0,0,11,5,0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,NECO,5+-year,College of Education,15,8,0,0,0,1.5,0,0,7,8,0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,WAEC,1-year,College of Education,73,38,13,14,0,1.0,0,0,35,25,0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,WAEC,2-year,College of Education,47,24,9,9,0,2.0,0,0,23,15,0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,WAEC,3-5-year,College of Education,29,14,4,5,0,1.5,0,0,15,10,0
2019/2020,North West,Katsina,Daura,Kusugu,"Community Secondary School, Kusugu",Female,all,WAEC,5+-year,College of Education,17,10,4,0,4,1.5,0,0,7,6,4
