session,zone,state,lga,ward,school,gender,disability_scope,exam_body,gap_band,institution_type,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,ss3_total,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,NABTEB,1-year,Polytechnic,31,19,7,7,0,1.0,0,0,12,12,0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,NABTEB,2-year,Polytechnic,20,12,7,4,3,2.0,0,0,8,5,3
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,NABTEB,3-5-year,Polytechnic,13,7,3,4,0,1.5,0,0,6,4,0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,NABTEB,5+-year,Polytechnic,7,5,0,0,0,1.5,0,0,2,5,0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,NECO,1-year,Polytechnic,60,37,15,11,4,1.0,0,0,23,22,4
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,NECO,2-year,Polytechnic,41,24,7,8,0,2.0,0,0,17,17,0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,NECO,3-5-year,Polytechnic,27,15,7,8,0,1.5,0,0,12,8,0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,NECO,5+-year,Polytechnic,17,11,4,4,0,1.5,0,0,6,7,0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,WAEC,1-year,Polytechnic,83,50,22,19,3,1.0,0,0,33,28,3
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,WAEC,2-year,Polytechnic,56,35,15,13,2,2.0,0,0,21,20,2
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,WAEC,3-5-year,Polytechnic,28,17,6,7,0,1.5,0,0,11,11,0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,all,WAEC,5+-year,Polytechnic,19,11,6,7,0,1.5,0,0,8,5,0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,disabled,NABTEB,1-year,Polytechnic,4,3,3,4,0,1.0,0,0,1,0,0
2019/2020,South East,Ebonyi,Abakaliki,Abakpa,"Community Secondary School, Abakpa",Female,disabled,NABTEB,2-year,Polytechnic,2,3,0,0,0,2.0,0,0,0,3,0
