session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,Private,JSS,JSS1,JSS1,75.5,1.0,2.25,0.75,37.7,0.0,75.5,33.5556,100.6667
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,279.25,2.5,9.0,3.0,36.7,0.0,111.7,31.0278,93.0833
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,Private,SSS,SSS1,SSS1,62.0,1.0,2.0,0.5,38.7,0.25,62.0,31.0,124.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,Public,JSS,JSS1,JSS1,267.0,3.5,7.5,2.5,37.7,0.0,76.2857,35.6,106.8
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,756.0,6.5,24.25,8.25,36.7,0.0,116.3077,31.1753,91.6364
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,all,Public,SSS,SSS1,SSS1,174.25,3.5,5.25,1.75,38.7,0.25,49.7857,33.1905,99.5714
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,disabled,Private,JSS,JSS1,JSS1,1.75,0.5,0.25,0.0,18.85,0.0,3.5,7.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.0,1.25,0.25,0.0,18.35,0.0,7.2,36.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.0,19.35,0.0,2.0,4.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,disabled,Public,JSS,JSS1,JSS1,6.0,1.75,0.25,0.0,18.85,0.0,3.4286,24.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,21.25,3.25,0.75,0.25,18.35,0.0,6.5385,28.3333,85.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Female,disabled,Public,SSS,SSS1,SSS1,2.75,1.75,0.25,0.0,19.35,0.0,1.5714,11.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,all,Private,JSS,JSS1,JSS1,66.0,1.0,2.0,0.5,37.7,0.0,66.0,33.0,132.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,274.25,2.5,8.75,2.75,36.7,0.0,109.7,31.3429,99.7273
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,all,Private,SSS,SSS1,SSS1,56.5,1.0,2.0,0.5,38.7,0.25,56.5,28.25,113.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,all,Public,JSS,JSS1,JSS1,259.25,3.5,7.25,2.25,37.7,0.0,74.0714,35.7586,115.2222
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,737.75,6.5,23.75,8.0,36.7,0.0,113.5,31.0632,92.2188
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,all,Public,SSS,SSS1,SSS1,183.25,3.5,5.5,1.75,38.7,0.25,52.3571,33.3182,104.7143
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.0,18.85,0.0,3.0,6.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.0,1.25,0.25,0.0,18.35,0.0,7.2,36.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,disabled,Private,SSS,SSS1,SSS1,1.25,0.5,0.25,0.0,19.35,0.0,2.5,5.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,disabled,Public,JSS,JSS1,JSS1,5.25,1.75,0.25,0.0,18.85,0.0,3.0,21.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,20.5,3.25,0.75,0.25,18.35,0.0,6.3077,27.3333,82.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Community Secondary School, Alwasa/Gotomo",Male,disabled,Public,SSS,SSS1,SSS1,2.75,1.75,0.25,0.0,19.35,0.0,1.5714,11.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,all,Private,JSS,JSS1,JSS1,75.5,1.0,2.25,0.75,37.7,0.0,75.5,33.5556,100.6667
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,279.25,2.5,9.0,3.0,36.7,0.0,111.7,31.0278,93.0833
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,all,Private,SSS,SSS1,SSS1,62.0,1.0,2.0,0.5,38.7,0.25,62.0,31.0,124.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,all,Public,JSS,JSS1,JSS1,267.0,3.5,7.5,2.5,37.7,0.0,76.2857,35.6,106.8
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,756.0,6.5,24.25,8.25,36.7,0.0,116.3077,31.1753,91.6364
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,all,Public,SSS,SSS1,SSS1,174.25,3.5,5.25,1.75,38.7,0.25,49.7857,33.1905,99.5714
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,disabled,Private,JSS,JSS1,JSS1,1.75,0.5,0.25,0.0,18.85,0.0,3.5,7.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,9.0,1.25,0.25,0.0,18.35,0.0,7.2,36.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.0,19.35,0.0,2.0,4.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,disabled,Public,JSS,JSS1,JSS1,6.0,1.75,0.25,0.0,18.85,0.0,3.4286,24.0,0.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,21.25,3.25,0.75,0.25,18.35,0.0,6.5385,28.3333,85.0
2019/2020,North West,Kebbi,Argungu,Alwasa/Gotomo,"Comprehensive High School, Alwasa/Gotomo",Female,disabled,Public,SSS,SSS1,SSS1,2.75,1.75,0.25,0.0,19.35,0.0,1.5714,11.0,0.0
