session,zone,state,lga,ward,school,gender,disability_scope,school_type,school_level,class_grade,key_entry_level,student_count,school_count,classroom_count,computer_count,infrastructure_score,is_o_level_student,avg_students_per_school,learners_per_classroom,students_per_computer
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,all,Private,JSS,JSS1,JSS1,78.25,1.0,1.75,1.25,27.45,0.0,78.25,44.7143,62.6
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,167.75,1.5,3.75,2.5,26.45,0.0,111.8333,44.7333,67.1
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,all,Private,SSS,SSS1,SSS1,53.0,1.0,1.25,1.0,28.45,0.25,53.0,42.4,53.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,all,Public,JSS,JSS1,JSS1,187.5,2.5,3.5,2.25,27.45,0.0,75.0,53.5714,83.3333
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,677.75,5.5,14.25,9.0,26.45,0.0,123.2273,47.5614,75.3056
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,all,Public,SSS,SSS1,SSS1,128.75,2.5,2.75,1.75,28.45,0.25,51.5,46.8182,73.5714
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,disabled,Private,JSS,JSS1,JSS1,1.75,0.5,0.25,0.25,13.725,0.0,3.5,7.0,7.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.0,0.75,0.25,0.25,13.225,0.0,6.6667,20.0,20.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.25,14.225,0.0,2.0,4.0,4.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,disabled,Public,JSS,JSS1,JSS1,5.0,1.25,0.25,0.25,13.725,0.0,4.0,20.0,20.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,21.25,2.75,0.5,0.25,13.225,0.0,7.7273,42.5,85.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Female,disabled,Public,SSS,SSS1,SSS1,2.75,1.25,0.25,0.25,14.225,0.0,2.2,11.0,11.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,all,Private,JSS,JSS1,JSS1,69.75,1.0,1.5,1.0,27.45,0.0,69.75,46.5,69.75
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,163.25,1.5,3.5,2.25,26.45,0.0,108.8333,46.6429,72.5556
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,all,Private,SSS,SSS1,SSS1,57.0,1.0,1.25,1.0,28.45,0.25,57.0,45.6,57.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,all,Public,JSS,JSS1,JSS1,189.5,2.5,3.5,2.25,27.45,0.0,75.8,54.1429,84.2222
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,684.5,5.5,14.5,9.25,26.45,0.0,124.4545,47.2069,74.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,all,Public,SSS,SSS1,SSS1,137.5,2.5,3.0,2.0,28.45,0.25,55.0,45.8333,68.75
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,13.725,0.0,3.0,6.0,6.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,4.75,0.75,0.25,0.25,13.225,0.0,6.3333,19.0,19.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.25,14.225,0.0,2.0,4.0,4.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,disabled,Public,JSS,JSS1,JSS1,4.75,1.25,0.25,0.25,13.725,0.0,3.8,19.0,19.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,21.75,2.75,0.5,0.25,13.225,0.0,7.9091,43.5,87.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Community Secondary School, Brass I",Male,disabled,Public,SSS,SSS1,SSS1,2.75,1.25,0.25,0.25,14.225,0.0,2.2,11.0,11.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,all,Private,JSS,JSS1,JSS1,78.25,1.0,1.75,1.25,27.45,0.0,78.25,44.7143,62.6
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,167.75,1.5,3.75,2.5,26.45,0.0,111.8333,44.7333,67.1
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,all,Private,SSS,SSS1,SSS1,53.0,1.0,1.25,1.0,28.45,0.25,53.0,42.4,53.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,all,Public,JSS,JSS1,JSS1,187.5,2.5,3.5,2.25,27.45,0.0,75.0,53.5714,83.3333
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,677.75,5.5,14.25,9.0,26.45,0.0,123.2273,47.5614,75.3056
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,all,Public,SSS,SSS1,SSS1,128.75,2.5,2.75,1.75,28.45,0.25,51.5,46.8182,73.5714
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,disabled,Private,JSS,JSS1,JSS1,1.75,0.5,0.25,0.25,13.725,0.0,3.5,7.0,7.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,5.0,0.75,0.25,0.25,13.225,0.0,6.6667,20.0,20.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.25,14.225,0.0,2.0,4.0,4.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,disabled,Public,JSS,JSS1,JSS1,5.0,1.25,0.25,0.25,13.725,0.0,4.0,20.0,20.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,21.25,2.75,0.5,0.25,13.225,0.0,7.7273,42.5,85.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Female,disabled,Public,SSS,SSS1,SSS1,2.75,1.25,0.25,0.25,14.225,0.0,2.2,11.0,11.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,all,Private,JSS,JSS1,JSS1,69.75,1.0,1.5,1.0,27.45,0.0,69.75,46.5,69.75
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,163.25,1.5,3.5,2.25,26.45,0.0,108.8333,46.6429,72.5556
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,all,Private,SSS,SSS1,SSS1,57.0,1.0,1.25,1.0,28.45,0.25,57.0,45.6,57.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,all,Public,JSS,JSS1,JSS1,189.5,2.5,3.5,2.25,27.45,0.0,75.8,54.1429,84.2222
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,all,Public,Pre-Primary/Primary,Primary 1,Primary 1,684.5,5.5,14.5,9.25,26.45,0.0,124.4545,47.2069,74.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,all,Public,SSS,SSS1,SSS1,137.5,2.5,3.0,2.0,28.45,0.25,55.0,45.8333,68.75
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,disabled,Private,JSS,JSS1,JSS1,1.5,0.5,0.25,0.25,13.725,0.0,3.0,6.0,6.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,disabled,Private,Pre-Primary/Primary,Primary 1,Primary 1,4.75,0.75,0.25,0.25,13.225,0.0,6.3333,19.0,19.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,disabled,Private,SSS,SSS1,SSS1,1.0,0.5,0.25,0.25,14.225,0.0,2.0,4.0,4.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,disabled,Public,JSS,JSS1,JSS1,4.75,1.25,0.25,0.25,13.725,0.0,3.8,19.0,19.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,disabled,Public,Pre-Primary/Primary,Primary 1,Primary 1,21.75,2.75,0.5,0.25,13.225,0.0,7.9091,43.5,87.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Comprehensive High School, Brass I",Male,disabled,Public,SSS,SSS1,SSS1,2.75,1.25,0.25,0.25,14.225,0.0,2.2,11.0,11.0
2019/2020,South South,Bayelsa,Brass,Brass I,"Government Secondary School, Brass I",Female,all,Private,JSS,JSS1,JSS1,78.25,1.0,1.75,1.25,27.45,0.0,78.25,44.7143,62.6
2019/2020,South South,Bayelsa,Brass,Brass I,"Government Secondary School, Brass I",Female,all,Private,Pre-Primary/Primary,Primary 1,Primary 1,167.75,1.5,3.75,2.5,26.45,0.0,111.8333,44.7333,67.1
