"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Dagona","North East","Yobe","Bade","Dagona","","62","61","41","16","17","0","1","20","26","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gwio-Kura","North East","Yobe","Bade","Gwio-Kura","","217","213","153","65","58","8","4","60","88","8"
"2019/2020","Female","all","NABTEB","College of Education","ward","Katuzu","North East","Yobe","Bade","Katuzu","","258","254","173","56","56","0","4","81","117","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Damaturu Central","North East","Yobe","Damaturu","Damaturu Central","","91","90","63","25","17","8","1","27","39","8"
"2019/2020","Female","all","NABTEB","College of Education","ward","Asheikri","North East","Yobe","Geidam","Asheikri","","126","124","83","32","33","0","2","41","51","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Balle/Gallaba/Meleri","North East","Yobe","Geidam","Balle/Gallaba/Meleri","","164","162","112","49","42","8","2","50","63","8"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bulabulin","North East","Yobe","Nguru","Bulabulin","","196","193","136","73","66","8","3","57","64","8"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bulanguwa","North East","Yobe","Nguru","Bulanguwa","","111","109","82","33","33","0","2","27","50","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Dabule","North East","Yobe","Nguru","Dabule","","147","145","99","32","24","8","2","46","67","8"
"2019/2020","Female","all","NABTEB","College of Education","ward","Bolewa 'A'","North East","Yobe","Potiskum","Bolewa 'A'","","60","59","47","24","25","0","1","12","24","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Gwio-Kura","North East","Yobe","Bade","Gwio-Kura","","75","74","54","25","17","8","1","20","29","8"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Bindigari/Fawari","North East","Yobe","Damaturu","Bindigari/Fawari","","406","400","297","123","91","32","6","103","174","32"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Damakasu","North East","Yobe","Damaturu","Damakasu","","252","248","169","73","65","8","4","79","96","8"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Damaturu Central","North East","Yobe","Damaturu","Damaturu Central","","273","270","186","64","49","16","3","84","122","16"
