session,gender,disability_scope,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,College of Education,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,118,116,66,28,30,0,2,50,38,0
2019/2020,Female,all,NABTEB,College of Education,ward,Dikko,North West,Kebbi,Argungu,Dikko,,172,169,102,42,39,4,3,67,60,4
2019/2020,Female,all,NABTEB,College of Education,ward,Felande,North West,Kebbi,Argungu,Felande,,49,48,30,9,10,0,1,18,21,0
2019/2020,Female,all,NABTEB,College of Education,ward,Ambursa,North West,Kebbi,Birnin Kebbi,Ambursa,,46,45,23,5,5,0,1,22,18,0
2019/2020,Female,all,NABTEB,College of Education,ward,Birnin Kebbi Dangaladima,North West,Kebbi,Birnin Kebbi,Birnin Kebbi Dangaladima,,123,121,71,28,24,4,2,50,43,4
2019/2020,Female,all,NABTEB,College of Education,ward,Birnin Kebbi Mafara,North West,Kebbi,Birnin Kebbi,Birnin Kebbi Mafara,,104,102,58,28,30,0,2,44,30,0
2019/2020,Female,all,NABTEB,College of Education,ward,Badariya/Magarza,North West,Kebbi,Kalgo,Badariya/Magarza,,97,95,53,28,30,0,2,42,25,0
2019/2020,Female,all,NABTEB,College of Education,ward,Dangoma/Gayi,North West,Kebbi,Kalgo,Dangoma/Gayi,,94,93,56,18,15,3,1,37,38,3
2019/2020,Female,all,NABTEB,College of Education,ward,Diggi,North West,Kebbi,Kalgo,Diggi,,162,159,96,37,34,4,3,63,59,4
2019/2020,Female,all,NABTEB,College of Education,ward,Chulu/Koma,North West,Kebbi,Yauri,Chulu/Koma,,60,59,36,14,14,0,1,23,22,0
2019/2020,Female,all,NABTEB,College of Education,ward,Jijima,North West,Kebbi,Yauri,Jijima,,94,93,58,23,19,4,1,35,35,4
2019/2020,Female,all,NABTEB,College of Education,ward,Ciroman Dabai,North West,Kebbi,Zuru,Ciroman Dabai,,63,62,36,14,14,0,1,26,22,0
2019/2020,Female,all,NABTEB,College of Education,ward,Isgogo /Dago,North West,Kebbi,Zuru,Isgogo /Dago,,87,86,48,23,19,4,1,38,25,4
2019/2020,Female,all,NABTEB,Polytechnic,ward,Alwasa/Gotomo,North West,Kebbi,Argungu,Alwasa/Gotomo,,133,131,81,28,25,4,2,50,53,4
2019/2020,Female,all,NABTEB,Polytechnic,ward,Dikko,North West,Kebbi,Argungu,Dikko,,109,107,66,32,29,3,2,41,34,3
2019/2020,Female,all,NABTEB,Polytechnic,ward,Felande,North West,Kebbi,Argungu,Felande,,150,148,87,37,34,4,2,61,50,4
2019/2020,Female,all,NABTEB,Polytechnic,ward,Ambursa,North West,Kebbi,Birnin Kebbi,Ambursa,,94,93,53,18,19,0,1,40,35,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Birnin Kebbi Dangaladima,North West,Kebbi,Birnin Kebbi,Birnin Kebbi Dangaladima,,101,100,61,18,19,0,1,39,43,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Birnin Kebbi Mafara,North West,Kebbi,Birnin Kebbi,Birnin Kebbi Mafara,,98,97,56,14,10,4,1,41,42,4
2019/2020,Female,all,NABTEB,Polytechnic,ward,Badariya/Magarza,North West,Kebbi,Kalgo,Badariya/Magarza,,72,71,43,14,10,4,1,28,29,4
2019/2020,Female,all,NABTEB,Polytechnic,ward,Dangoma/Gayi,North West,Kebbi,Kalgo,Dangoma/Gayi,,87,86,51,14,10,4,1,35,37,4
2019/2020,Female,all,NABTEB,Polytechnic,ward,Chulu/Koma,North West,Kebbi,Yauri,Chulu/Koma,,107,105,63,28,28,0,2,42,35,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Jijima,North West,Kebbi,Yauri,Jijima,,188,186,107,37,29,8,2,79,70,8
2019/2020,Female,all,NABTEB,Polytechnic,ward,Bedi,North West,Kebbi,Zuru,Bedi,,269,265,159,60,53,8,4,106,99,8
2019/2020,Female,all,NABTEB,Polytechnic,ward,Isgogo /Dago,North West,Kebbi,Zuru,Isgogo /Dago,,109,107,61,18,15,3,2,46,43,3
2019/2020,Female,all,NABTEB,University,ward,Dikko,North West,Kebbi,Argungu,Dikko,,84,83,48,18,19,0,1,35,30,0
2019/2020,Female,all,NABTEB,University,ward,Felande,North West,Kebbi,Argungu,Felande,,107,105,61,23,19,4,2,44,38,4
2019/2020,Female,all,NABTEB,University,ward,Ambursa,North West,Kebbi,Birnin Kebbi,Ambursa,,205,202,127,51,43,8,3,75,76,8
2019/2020,Female,all,NABTEB,University,ward,Birnin Kebbi Dangaladima,North West,Kebbi,Birnin Kebbi,Birnin Kebbi Dangaladima,,218,214,131,51,43,8,4,83,80,8
2019/2020,Female,all,NABTEB,University,ward,Birnin Kebbi Mafara,North West,Kebbi,Birnin Kebbi,Birnin Kebbi Mafara,,70,69,41,18,19,0,1,28,23,0
2019/2020,Female,all,NABTEB,University,ward,Badariya/Magarza,North West,Kebbi,Kalgo,Badariya/Magarza,,60,59,33,9,10,0,1,26,24,0
2019/2020,Female,all,NABTEB,University,ward,Dangoma/Gayi,North West,Kebbi,Kalgo,Dangoma/Gayi,,169,167,96,27,25,3,2,71,69,3
