session,gender,disability_scope,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,College of Education,ward,Gamafoi,North West,Jigawa,Auyo,Gamafoi,,73,72,54,31,25,6,1,18,23,6
2019/2020,Female,all,NABTEB,College of Education,ward,Tsidir,North West,Jigawa,Auyo,Tsidir,,65,64,47,23,25,0,1,17,24,0
2019/2020,Female,all,NABTEB,College of Education,ward,Batali,North West,Jigawa,Babura,Batali,,89,88,64,31,25,6,1,24,33,6
2019/2020,Female,all,NABTEB,College of Education,ward,Jigawa,North West,Jigawa,Babura,Jigawa,,124,122,93,46,41,5,2,29,47,5
2019/2020,Female,all,NABTEB,College of Education,ward,Kuzunzumi,North West,Jigawa,Babura,Kuzunzumi,,111,109,82,31,25,6,2,27,51,6
2019/2020,Female,all,NABTEB,College of Education,ward,Kyambo,North West,Jigawa,Babura,Kyambo,,67,66,50,23,25,0,1,16,27,0
2019/2020,Female,all,NABTEB,College of Education,ward,Birnin Kudu,North West,Jigawa,Birnin-Kudu,Birnin Kudu,,122,120,93,39,33,6,2,27,54,6
2019/2020,Female,all,NABTEB,College of Education,ward,Kangire,North West,Jigawa,Birnin-Kudu,Kangire,,83,82,61,15,16,0,1,21,46,0
2019/2020,Female,all,NABTEB,College of Education,ward,Kiyako,North West,Jigawa,Birnin-Kudu,Kiyako,,111,109,82,39,33,6,2,27,43,6
2019/2020,Female,all,NABTEB,College of Education,ward,Sundimina,North West,Jigawa,Birnin-Kudu,Sundimina,,99,98,79,39,33,6,1,19,40,6
2019/2020,Female,all,NABTEB,College of Education,ward,Wurno,North West,Jigawa,Birnin-Kudu,Wurno,,114,112,82,31,24,7,2,30,51,7
2019/2020,Female,all,NABTEB,College of Education,ward,Batu,North West,Jigawa,Birniwa,Batu,,106,104,79,23,24,0,2,25,56,0
2019/2020,Female,all,NABTEB,College of Education,ward,Dangwaleri,North West,Jigawa,Birniwa,Dangwaleri,,57,56,39,23,25,0,1,17,16,0
2019/2020,Female,all,NABTEB,College of Education,ward,Kachallari,North West,Jigawa,Birniwa,Kachallari,,108,106,82,39,33,6,2,24,43,6
2019/2020,Female,all,NABTEB,College of Education,ward,Karanka,North West,Jigawa,Birniwa,Karanka,,130,128,93,31,24,7,2,35,62,7
2019/2020,Female,all,NABTEB,College of Education,ward,Machinamari,North West,Jigawa,Birniwa,Machinamari,,57,56,39,16,16,0,1,17,23,0
2019/2020,Female,all,NABTEB,College of Education,ward,Nguwa,North West,Jigawa,Birniwa,Nguwa,,83,82,61,16,16,0,1,21,45,0
2019/2020,Female,all,NABTEB,College of Education,ward,K/Lelen Kudu,North West,Jigawa,Buji,K/Lelen Kudu,,122,120,96,46,41,5,2,24,50,5
2019/2020,Female,all,NABTEB,College of Education,ward,Madabe,North West,Jigawa,Buji,Madabe,,62,61,43,15,16,0,1,18,28,0
2019/2020,Female,all,NABTEB,College of Education,ward,Abaya,North West,Jigawa,Dutse,Abaya,,111,109,86,30,32,0,2,23,56,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Ayama,North West,Jigawa,Auyo,Ayama,,138,136,96,23,16,7,2,40,73,7
2019/2020,Female,all,NABTEB,Polytechnic,ward,Babura,North West,Jigawa,Babura,Babura,,86,85,57,15,16,0,1,28,42,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Garu,North West,Jigawa,Babura,Garu,,86,85,61,31,25,6,1,24,30,6
2019/2020,Female,all,NABTEB,Polytechnic,ward,Insharuwa,North West,Jigawa,Babura,Insharuwa,,122,120,86,23,16,7,2,34,63,7
2019/2020,Female,all,NABTEB,Polytechnic,ward,Birnin Kudu,North West,Jigawa,Birnin-Kudu,Birnin Kudu,,81,80,61,23,16,7,1,19,38,7
2019/2020,Female,all,NABTEB,Polytechnic,ward,Kiyako,North West,Jigawa,Birnin-Kudu,Kiyako,,62,61,46,15,16,0,1,15,31,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Kwangwara,North West,Jigawa,Birnin-Kudu,Kwangwara,,67,66,50,15,16,0,1,16,35,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Lafiya,North West,Jigawa,Birnin-Kudu,Lafiya,,100,98,71,31,33,0,2,27,40,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Surko,North West,Jigawa,Birnin-Kudu,Surko,,67,66,50,23,24,0,1,16,27,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,"Unguwar""Ya",North West,Jigawa,Birnin-Kudu,"Unguwar""Ya",,59,58,43,8,8,0,1,15,35,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Yalwan Damai,North West,Jigawa,Birnin-Kudu,Yalwan Damai,,59,58,39,8,8,0,1,19,31,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Birniwa,North West,Jigawa,Birniwa,Birniwa,,114,112,86,31,24,7,2,26,55,7
2019/2020,Female,all,NABTEB,Polytechnic,ward,Kazura,North West,Jigawa,Birniwa,Kazura,,114,112,89,46,41,5,2,23,43,5
2019/2020,Female,all,NABTEB,Polytechnic,ward,Matamu,North West,Jigawa,Birniwa,Matamu,,94,93,71,23,16,7,1,22,48,7
2019/2020,Female,all,NABTEB,Polytechnic,ward,Buji,North West,Jigawa,Buji,Buji,,124,122,86,23,16,7,2,36,63,7
2019/2020,Female,all,NABTEB,Polytechnic,ward,Falageri,North West,Jigawa,Buji,Falageri,,59,58,46,23,24,0,1,12,23,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Gantsa,North West,Jigawa,Buji,Gantsa,,89,88,61,15,16,0,1,27,46,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Yayarin Tukur,North West,Jigawa,Buji,Yayarin Tukur,,81,80,54,15,16,0,1,26,39,0
2019/2020,Female,all,NABTEB,Polytechnic,ward,Chamo,North West,Jigawa,Dutse,Chamo,,81,80,57,15,16,0,1,23,42,0
2019/2020,Female,all,NABTEB,University,ward,Auyakayi,North West,Jigawa,Auyo,Auyakayi,,94,93,71,23,16,7,1,22,48,7
2019/2020,Female,all,NABTEB,University,ward,Auyo,North West,Jigawa,Auyo,Auyo,,149,146,107,47,41,6,3,39,60,6
2019/2020,Female,all,NABTEB,University,ward,Gatafa,North West,Jigawa,Auyo,Gatafa,,106,104,79,23,16,7,2,25,56,7
2019/2020,Female,all,NABTEB,University,ward,Babura,North West,Jigawa,Babura,Babura,,46,45,32,8,8,0,1,13,24,0
2019/2020,Female,all,NABTEB,University,ward,Dorawa,North West,Jigawa,Babura,Dorawa,,59,58,39,15,16,0,1,19,24,0
2019/2020,Female,all,NABTEB,University,ward,Gasakoli,North West,Jigawa,Babura,Gasakoli,,99,98,71,23,16,7,1,27,48,7
2019/2020,Female,all,NABTEB,University,ward,Takwasa,North West,Jigawa,Babura,Takwasa,,108,106,75,23,16,7,2,31,52,7
2019/2020,Female,all,NABTEB,University,ward,Birnin Kudu,North West,Jigawa,Birnin-Kudu,Birnin Kudu,,300,295,218,101,83,18,5,77,117,18
2019/2020,Female,all,NABTEB,University,ward,Kantoga,North West,Jigawa,Birnin-Kudu,Kantoga,,78,77,57,15,16,0,1,20,42,0
2019/2020,Female,all,NABTEB,University,ward,"Unguwar""Ya",North West,Jigawa,Birnin-Kudu,"Unguwar""Ya",,49,48,36,8,8,0,1,12,28,0
2019/2020,Female,all,NABTEB,University,ward,Birniwa,North West,Jigawa,Birniwa,Birniwa,,75,74,54,15,16,0,1,20,39,0
2019/2020,Female,all,NABTEB,University,ward,Diginsa,North West,Jigawa,Birniwa,Diginsa,,94,93,64,23,16,7,1,29,41,7
2019/2020,Female,all,NABTEB,University,ward,Fagi,North West,Jigawa,Birniwa,Fagi,,91,90,61,16,16,0,1,29,45,0
2019/2020,Female,all,NABTEB,University,ward,Churbun,North West,Jigawa,Buji,Churbun,,94,93,68,15,16,0,1,25,53,0
2019/2020,Female,all,NABTEB,University,ward,Kawaya,North West,Jigawa,Buji,Kawaya,,135,133,89,31,24,7,2,44,58,7
2019/2020,Female,all,NABTEB,University,ward,Chamo,North West,Jigawa,Dutse,Chamo,,59,58,43,15,16,0,1,15,28,0
2019/2020,Female,all,NECO,College of Education,ward,Gamafoi,North West,Jigawa,Auyo,Gamafoi,,130,128,91,38,33,5,2,37,53,5
2019/2020,Female,all,NECO,College of Education,ward,Tsidir,North West,Jigawa,Auyo,Tsidir,,112,110,81,44,40,4,2,29,37,4
2019/2020,Female,all,NECO,College of Education,ward,Batali,North West,Jigawa,Babura,Batali,,171,168,133,51,47,4,3,35,82,4
2019/2020,Female,all,NECO,College of Education,ward,Kanya,North West,Jigawa,Babura,Kanya,,265,261,195,69,60,9,4,66,126,9
2019/2020,Female,all,NECO,College of Education,ward,Kuzunzumi,North West,Jigawa,Babura,Kuzunzumi,,186,183,136,51,47,4,3,47,85,4
2019/2020,Female,all,NECO,College of Education,ward,Kyambo,North West,Jigawa,Babura,Kyambo,,133,131,97,44,40,4,2,34,53,4
2019/2020,Female,all,NECO,College of Education,ward,Birnin Kudu,North West,Jigawa,Birnin-Kudu,Birnin Kudu,,239,235,172,63,54,9,4,63,109,9
2019/2020,Female,all,NECO,College of Education,ward,Kangire,North West,Jigawa,Birnin-Kudu,Kangire,,180,177,126,38,33,5,3,51,88,5
2019/2020,Female,all,NECO,College of Education,ward,Kiyako,North West,Jigawa,Birnin-Kudu,Kiyako,,174,171,136,57,54,3,3,35,79,3
2019/2020,Female,all,NECO,College of Education,ward,Sundimina,North West,Jigawa,Birnin-Kudu,Sundimina,,186,183,143,63,54,9,3,40,80,9
2019/2020,Female,all,NECO,College of Education,ward,Wurno,North West,Jigawa,Birnin-Kudu,Wurno,,224,221,159,44,40,4,3,62,115,4
2019/2020,Female,all,NECO,College of Education,ward,Batu,North West,Jigawa,Birniwa,Batu,,186,183,136,44,40,4,3,47,92,4
2019/2020,Female,all,NECO,College of Education,ward,Dangwaleri,North West,Jigawa,Birniwa,Dangwaleri,,118,116,91,38,33,5,2,25,53,5
2019/2020,Female,all,NECO,College of Education,ward,Kachallari,North West,Jigawa,Birniwa,Kachallari,,245,241,178,69,60,9,4,63,109,9
2019/2020,Female,all,NECO,College of Education,ward,Karanka,North West,Jigawa,Birniwa,Karanka,,288,284,191,63,54,9,4,93,128,9
2019/2020,Female,all,NECO,College of Education,ward,Machinamari,North West,Jigawa,Birniwa,Machinamari,,97,96,62,25,20,5,1,34,37,5
2019/2020,Female,all,NECO,College of Education,ward,Ahoto,North West,Jigawa,Buji,Ahoto,,177,174,130,51,47,4,3,44,79,4
2019/2020,Female,all,NECO,College of Education,ward,K/Lelen Kudu,North West,Jigawa,Buji,K/Lelen Kudu,,251,247,191,82,74,8,4,56,109,8
2019/2020,Female,all,NECO,College of Education,ward,Madabe,North West,Jigawa,Buji,Madabe,,136,134,91,32,27,5,2,43,59,5
2019/2020,Female,all,NECO,College of Education,ward,Abaya,North West,Jigawa,Dutse,Abaya,,191,189,143,51,40,11,2,46,92,11
2019/2020,Female,all,NECO,Polytechnic,ward,Ayama,North West,Jigawa,Auyo,Ayama,,262,258,178,63,60,3,4,80,115,3
2019/2020,Female,all,NECO,Polytechnic,ward,Babura,North West,Jigawa,Babura,Babura,,147,145,94,25,20,5,2,51,69,5
2019/2020,Female,all,NECO,Polytechnic,ward,Garu,North West,Jigawa,Babura,Garu,,150,148,110,44,40,4,2,38,66,4
2019/2020,Female,all,NECO,Polytechnic,ward,Insharuwa,North West,Jigawa,Babura,Insharuwa,,218,215,152,51,47,4,3,63,101,4
2019/2020,Female,all,NECO,Polytechnic,ward,Birnin Kudu,North West,Jigawa,Birnin-Kudu,Birnin Kudu,,174,171,130,51,47,4,3,41,79,4
2019/2020,Female,all,NECO,Polytechnic,ward,Kiyako,North West,Jigawa,Birnin-Kudu,Kiyako,,100,99,71,25,20,5,1,28,46,5
2019/2020,Female,all,NECO,Polytechnic,ward,Kwangwara,North West,Jigawa,Birnin-Kudu,Kwangwara,,124,122,84,25,20,5,2,38,59,5
2019/2020,Female,all,NECO,Polytechnic,ward,Lafiya,North West,Jigawa,Birnin-Kudu,Lafiya,,179,177,133,50,47,5,2,44,83,5
2019/2020,Female,all,NECO,Polytechnic,ward,Surko,North West,Jigawa,Birnin-Kudu,Surko,,136,134,104,44,40,4,2,30,60,4
2019/2020,Female,all,NECO,Polytechnic,ward,"Unguwar""Ya",North West,Jigawa,Birnin-Kudu,"Unguwar""Ya",,106,104,75,19,13,6,2,29,56,6
2019/2020,Female,all,NECO,Polytechnic,ward,Yalwan Damai,North West,Jigawa,Birnin-Kudu,Yalwan Damai,,118,116,81,32,27,5,2,35,49,5
2019/2020,Female,all,NECO,Polytechnic,ward,Birniwa,North West,Jigawa,Birniwa,Birniwa,,200,197,149,51,47,4,3,48,98,4
2019/2020,Female,all,NECO,Polytechnic,ward,Kazura,North West,Jigawa,Birniwa,Kazura,,212,209,159,69,67,2,3,50,90,2
2019/2020,Female,all,NECO,Polytechnic,ward,Matamu,North West,Jigawa,Birniwa,Matamu,,171,168,123,44,40,4,3,45,79,4
2019/2020,Female,all,NECO,Polytechnic,ward,Buji,North West,Jigawa,Buji,Buji,,221,218,149,44,40,4,3,69,105,4
2019/2020,Female,all,NECO,Polytechnic,ward,Falageri,North West,Jigawa,Buji,Falageri,,100,99,71,32,27,5,1,28,39,5
2019/2020,Female,all,NECO,Polytechnic,ward,Gantsa,North West,Jigawa,Buji,Gantsa,,180,177,126,38,33,5,3,51,88,5
2019/2020,Female,all,NECO,Polytechnic,ward,Yayarin Tukur,North West,Jigawa,Buji,Yayarin Tukur,,144,142,107,32,27,5,2,35,75,5
2019/2020,Female,all,NECO,Polytechnic,ward,Chamo,North West,Jigawa,Dutse,Chamo,,124,122,84,25,20,5,2,38,59,5
2019/2020,Female,all,NECO,University,ward,Auyakayi,North West,Jigawa,Auyo,Auyakayi,,200,197,136,44,40,4,3,61,92,4
2019/2020,Female,all,NECO,University,ward,Auyo,North West,Jigawa,Auyo,Auyo,,300,296,227,88,73,15,4,69,139,15
2019/2020,Female,all,NECO,University,ward,Gatafa,North West,Jigawa,Auyo,Gatafa,,203,200,146,57,47,10,3,54,89,10
2019/2020,Female,all,NECO,University,ward,Babura,North West,Jigawa,Babura,Babura,,88,87,62,19,13,6,1,25,43,6
2019/2020,Female,all,NECO,University,ward,Dorawa,North West,Jigawa,Babura,Dorawa,,104,102,75,25,20,5,2,27,50,5
2019/2020,Female,all,NECO,University,ward,Gasakoli,North West,Jigawa,Babura,Gasakoli,,192,189,133,38,33,5,3,56,95,5
2019/2020,Female,all,NECO,University,ward,Takwasa,North West,Jigawa,Babura,Takwasa,,226,223,152,57,47,10,3,71,95,10
2019/2020,Female,all,NECO,University,ward,Birnin Kudu,North West,Jigawa,Birnin-Kudu,Birnin Kudu,,557,549,412,176,154,22,8,137,236,22
2019/2020,Female,all,NECO,University,ward,Kantoga,North West,Jigawa,Birnin-Kudu,Kantoga,,150,148,104,38,33,5,2,44,66,5
2019/2020,Female,all,NECO,University,ward,"Unguwar""Ya",North West,Jigawa,Birnin-Kudu,"Unguwar""Ya",,100,99,65,19,13,6,1,34,46,6
2019/2020,Female,all,NECO,University,ward,Birniwa,North West,Jigawa,Birniwa,Birniwa,,141,139,101,38,33,5,2,38,63,5
2019/2020,Female,all,NECO,University,ward,Diginsa,North West,Jigawa,Birniwa,Diginsa,,174,171,113,38,33,5,3,58,75,5
2019/2020,Female,all,NECO,University,ward,Fagi,North West,Jigawa,Birniwa,Fagi,,192,189,126,44,40,4,3,63,82,4
2019/2020,Female,all,NECO,University,ward,Churbun,North West,Jigawa,Buji,Churbun,,206,203,139,44,40,4,3,64,95,4
2019/2020,Female,all,NECO,University,ward,Kukuma,North West,Jigawa,Buji,Kukuma,,229,226,162,57,54,3,3,64,105,3
2019/2020,Female,all,NECO,University,ward,Chamo,North West,Jigawa,Dutse,Chamo,,115,113,84,25,20,5,2,29,59,5
2019/2020,Female,all,WAEC,College of Education,ward,Gamafoi,North West,Jigawa,Auyo,Gamafoi,,165,163,125,52,47,5,2,38,73,5
2019/2020,Female,all,WAEC,College of Education,ward,Tsidir,North West,Jigawa,Auyo,Tsidir,,134,132,99,46,41,5,2,33,53,5
2019/2020,Female,all,WAEC,College of Education,ward,Batali,North West,Jigawa,Babura,Batali,,213,210,160,69,59,10,3,50,91,10
2019/2020,Female,all,WAEC,College of Education,ward,Kanya,North West,Jigawa,Babura,Kanya,,361,356,259,126,107,19,5,97,133,19
2019/2020,Female,all,WAEC,College of Education,ward,Kuzunzumi,North West,Jigawa,Babura,Kuzunzumi,,236,233,163,69,59,10,3,70,94,10
2019/2020,Female,all,WAEC,College of Education,ward,Kyambo,North West,Jigawa,Babura,Kyambo,,159,157,116,57,47,10,2,41,59,10
2019/2020,Female,all,WAEC,College of Education,ward,Birnin Kudu,North West,Jigawa,Birnin-Kudu,Birnin Kudu,,308,303,227,97,83,14,5,76,130,14
2019/2020,Female,all,WAEC,College of Education,ward,Kangire,North West,Jigawa,Birnin-Kudu,Kangire,,227,224,151,52,41,11,3,73,99,11
2019/2020,Female,all,WAEC,College of Education,ward,Kiyako,North West,Jigawa,Birnin-Kudu,Kiyako,,240,236,177,80,71,9,4,59,97,9
2019/2020,Female,all,WAEC,College of Education,ward,Sundimina,North West,Jigawa,Birnin-Kudu,Sundimina,,242,238,177,74,65,9,4,61,103,9
2019/2020,Female,all,WAEC,College of Education,ward,Wurno,North West,Jigawa,Birnin-Kudu,Wurno,,248,244,180,63,53,10,4,64,117,10
2019/2020,Female,all,WAEC,College of Education,ward,Batu,North West,Jigawa,Birniwa,Batu,,256,252,189,75,65,10,4,63,114,10
2019/2020,Female,all,WAEC,College of Education,ward,Dangwaleri,North West,Jigawa,Birniwa,Dangwaleri,,134,132,99,46,41,5,2,33,53,5
2019/2020,Female,all,WAEC,College of Education,ward,Kachallari,North West,Jigawa,Birniwa,Kachallari,,311,306,241,109,95,14,5,65,132,14
2019/2020,Female,all,WAEC,College of Education,ward,Karanka,North West,Jigawa,Birniwa,Karanka,,350,345,241,92,83,9,5,104,149,9
2019/2020,Female,all,WAEC,College of Education,ward,Machinamari,North West,Jigawa,Birniwa,Machinamari,,117,115,84,34,30,4,2,31,50,4
2019/2020,Female,all,WAEC,College of Education,ward,Ahoto,North West,Jigawa,Buji,Ahoto,,240,236,175,63,53,10,4,61,112,10
2019/2020,Female,all,WAEC,College of Education,ward,K/Lelen Kudu,North West,Jigawa,Buji,K/Lelen Kudu,,314,309,227,92,83,9,5,82,135,9
2019/2020,Female,all,WAEC,College of Education,ward,Madabe,North West,Jigawa,Buji,Madabe,,156,154,113,40,36,4,2,41,73,4
2019/2020,Female,all,WAEC,College of Education,ward,Abaya,North West,Jigawa,Dutse,Abaya,,268,264,203,92,83,9,4,61,111,9
2019/2020,Female,all,WAEC,Polytechnic,ward,Ayama,North West,Jigawa,Auyo,Ayama,,325,320,212,74,65,9,5,108,138,9
2019/2020,Female,all,WAEC,Polytechnic,ward,Babura,North West,Jigawa,Babura,Babura,,202,199,143,52,41,11,3,56,91,11
2019/2020,Female,all,WAEC,Polytechnic,ward,Garu,North West,Jigawa,Babura,Garu,,211,208,157,69,59,10,3,51,88,10
2019/2020,Female,all,WAEC,Polytechnic,ward,Jigawa,North West,Jigawa,Babura,Jigawa,,287,283,207,69,59,10,4,76,138,10
2019/2020,Female,all,WAEC,Polytechnic,ward,Birnin Kudu,North West,Jigawa,Birnin-Kudu,Birnin Kudu,,213,210,148,57,47,10,3,62,91,10
2019/2020,Female,all,WAEC,Polytechnic,ward,Kiyako,North West,Jigawa,Birnin-Kudu,Kiyako,,120,118,87,34,30,4,2,31,53,4
2019/2020,Female,all,WAEC,Polytechnic,ward,Kwangwara,North West,Jigawa,Birnin-Kudu,Kwangwara,,156,154,108,46,41,5,2,46,62,5
2019/2020,Female,all,WAEC,Polytechnic,ward,Lafiya,North West,Jigawa,Birnin-Kudu,Lafiya,,223,219,155,57,48,9,4,64,98,9
2019/2020,Female,all,WAEC,Polytechnic,ward,Surko,North West,Jigawa,Birnin-Kudu,Surko,,168,166,128,57,47,10,2,38,71,10
2019/2020,Female,all,WAEC,Polytechnic,ward,"Unguwar""Ya",North West,Jigawa,Birnin-Kudu,"Unguwar""Ya",,125,123,84,34,30,4,2,39,50,4
2019/2020,Female,all,WAEC,Polytechnic,ward,Yalwan Damai,North West,Jigawa,Birnin-Kudu,Yalwan Damai,,148,146,105,40,35,5,2,41,65,5
2019/2020,Female,all,WAEC,Polytechnic,ward,Birniwa,North West,Jigawa,Birniwa,Birniwa,,227,224,163,63,53,10,3,61,100,10
2019/2020,Female,all,WAEC,Polytechnic,ward,Kazura,North West,Jigawa,Birniwa,Kazura,,308,303,236,120,107,13,5,67,116,13
2019/2020,Female,all,WAEC,Polytechnic,ward,Nguwa,North West,Jigawa,Birniwa,Nguwa,,225,222,160,63,53,10,3,62,97,10
2019/2020,Female,all,WAEC,Polytechnic,ward,Buji,North West,Jigawa,Buji,Buji,,293,289,209,69,59,10,4,80,140,10
2019/2020,Female,all,WAEC,Polytechnic,ward,Falageri,North West,Jigawa,Buji,Falageri,,123,121,87,40,36,4,2,34,47,4
2019/2020,Female,all,WAEC,Polytechnic,ward,Gantsa,North West,Jigawa,Buji,Gantsa,,256,252,183,63,53,10,4,69,120,10
2019/2020,Female,all,WAEC,Polytechnic,ward,Yayarin Tukur,North West,Jigawa,Buji,Yayarin Tukur,,202,199,143,46,41,5,3,56,97,5
2019/2020,Female,all,WAEC,Polytechnic,ward,Chamo,North West,Jigawa,Dutse,Chamo,,188,185,131,52,41,11,3,54,79,11
2019/2020,Female,all,WAEC,University,ward,Auyakayi,North West,Jigawa,Auyo,Auyakayi,,279,275,192,80,65,15,4,83,112,15
2019/2020,Female,all,WAEC,University,ward,Auyo,North West,Jigawa,Auyo,Auyo,,401,395,291,120,107,13,6,104,171,13
2019/2020,Female,all,WAEC,University,ward,Gatafa,North West,Jigawa,Auyo,Gatafa,,233,230,166,74,65,9,3,64,92,9
2019/2020,Female,all,WAEC,University,ward,Babura,North West,Jigawa,Babura,Babura,,123,121,90,40,36,4,2,31,50,4
2019/2020,Female,all,WAEC,University,ward,Dorawa,North West,Jigawa,Babura,Dorawa,,134,132,99,29,24,5,2,33,70,5
2019/2020,Female,all,WAEC,University,ward,Gasakoli,North West,Jigawa,Babura,Gasakoli,,225,222,160,57,53,4,3,62,103,4
2019/2020,Female,all,WAEC,University,ward,Takwasa,North West,Jigawa,Babura,Takwasa,,279,275,189,63,53,10,4,86,126,10
2019/2020,Female,all,WAEC,University,ward,Birnin Kudu,North West,Jigawa,Birnin-Kudu,Birnin Kudu,,438,432,317,132,118,14,6,115,185,14
2019/2020,Female,all,WAEC,University,ward,Kangire,North West,Jigawa,Birnin-Kudu,Kangire,,279,275,201,92,83,9,4,74,109,9
2019/2020,Female,all,WAEC,University,ward,Kantoga,North West,Jigawa,Birnin-Kudu,Kantoga,,197,194,131,40,36,4,3,63,91,4
2019/2020,Female,all,WAEC,University,ward,"Unguwar""Ya",North West,Jigawa,Birnin-Kudu,"Unguwar""Ya",,128,126,84,23,18,5,2,42,61,5
2019/2020,Female,all,WAEC,University,ward,Birniwa,North West,Jigawa,Birniwa,Birniwa,,159,157,111,46,41,5,2,46,65,5
2019/2020,Female,all,WAEC,University,ward,Diginsa,North West,Jigawa,Birniwa,Diginsa,,248,244,175,57,47,10,4,69,118,10
2019/2020,Female,all,WAEC,University,ward,Fagi,North West,Jigawa,Birniwa,Fagi,,199,196,140,52,41,11,3,56,88,11
2019/2020,Female,all,WAEC,University,ward,Churbun,North West,Jigawa,Buji,Churbun,,227,224,163,52,41,11,3,61,111,11
