"session","gender","disability_scope","exam_body","institution_type","loc_level","loc_label","zone","state","lga","ward","school","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","Female","all","NABTEB","College of Education","ward","Akwukwu","South South","Delta","Oshimili North","Akwukwu","","240","237","164","66","56","10","3","73","98","10"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ebu","South South","Delta","Oshimili North","Ebu","","96","95","64","17","12","5","1","31","47","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ibusa  I","South South","Delta","Oshimili North","Ibusa  I","","96","95","61","17","17","0","1","34","44","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Cable Point I","South South","Delta","Oshimili South","Cable Point I","","72","71","52","22","23","0","1","19","31","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Army Barracks Area","South South","Delta","Uvwie","Army Barracks Area","","362","356","234","78","62","16","6","122","156","16"
"2019/2020","Female","all","NABTEB","College of Education","ward","Effurun I","South South","Delta","Uvwie","Effurun I","","154","152","105","33","29","5","2","47","72","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Effurun II","South South","Delta","Uvwie","Effurun II","","166","163","116","44","39","5","3","47","72","5"
"2019/2020","Female","all","NABTEB","College of Education","ward","Ebrohimi","South South","Delta","Warri North","Ebrohimi","","61","60","36","11","11","0","1","24","26","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Gbokoda","South South","Delta","Warri North","Gbokoda","","56","55","39","11","12","0","1","16","28","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","Edjeba","South South","Delta","Warri South","Edjeba","","123","121","83","38","39","0","2","38","44","0"
"2019/2020","Female","all","NABTEB","College of Education","ward","G.R.A.","South South","Delta","Warri South","G.R.A.","","53","52","36","16","16","0","1","16","19","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Akwukwu","South South","Delta","Oshimili North","Akwukwu","","106","104","67","28","23","5","2","37","40","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ebu","South South","Delta","Oshimili North","Ebu","","110","108","73","32","27","5","2","35","40","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ibusa  I","South South","Delta","Oshimili North","Ibusa  I","","102","100","75","32","28","4","2","25","43","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Agu","South South","Delta","Oshimili South","Agu","","220","217","144","55","50","5","3","73","89","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Anala-Amakom","South South","Delta","Oshimili South","Anala-Amakom","","257","253","169","55","46","10","4","84","114","10"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Cable Point I","South South","Delta","Oshimili South","Cable Point I","","304","299","205","71","56","15","5","94","134","15"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Effurun I","South South","Delta","Uvwie","Effurun I","","103","101","73","28","23","5","2","28","46","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Effurun II","South South","Delta","Uvwie","Effurun II","","229","226","157","67","58","9","3","69","91","9"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Ebrohimi","South South","Delta","Warri North","Ebrohimi","","306","302","200","77","63","15","4","102","122","15"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Eghoro","South South","Delta","Warri North","Eghoro","","171","168","111","39","35","5","3","57","72","5"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Gbokoda","South South","Delta","Warri North","Gbokoda","","116","114","76","39","35","4","2","38","38","4"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","Bowen","South South","Delta","Warri South","Bowen","","94","93","64","22","23","0","1","29","43","0"
"2019/2020","Female","all","NABTEB","Polytechnic","ward","G.R.A.","South South","Delta","Warri South","G.R.A.","","66","65","42","11","12","0","1","23","32","0"
"2019/2020","Female","all","NABTEB","University","ward","Ebu","South South","Delta","Oshimili North","Ebu","","97","96","67","28","23","5","1","29","40","5"
"2019/2020","Female","all","NABTEB","University","ward","Ibusa  I","South South","Delta","Oshimili North","Ibusa  I","","145","143","94","32","27","5","2","49","62","5"
"2019/2020","Female","all","NABTEB","University","ward","Agu","South South","Delta","Oshimili South","Agu","","123","121","83","38","34","4","2","38","44","4"
"2019/2020","Female","all","NABTEB","University","ward","Anala-Amakom","South South","Delta","Oshimili South","Anala-Amakom","","103","101","70","17","12","5","2","31","53","5"
"2019/2020","Female","all","NABTEB","University","ward","Effurun I","South South","Delta","Uvwie","Effurun I","","64","63","42","17","17","0","1","21","26","0"
"2019/2020","Female","all","NABTEB","University","ward","Eghoro","South South","Delta","Warri North","Eghoro","","107","105","72","32","28","5","2","33","40","5"
"2019/2020","Female","all","NABTEB","University","ward","Gbokoda","South South","Delta","Warri North","Gbokoda","","193","190","138","50","40","10","3","52","89","10"
"2019/2020","Female","all","NABTEB","University","ward","Bowen","South South","Delta","Warri South","Bowen","","261","258","176","66","51","16","3","82","109","16"
"2019/2020","Female","all","NABTEB","University","ward","Edjeba","South South","Delta","Warri South","Edjeba","","178","175","123","39","34","5","3","52","85","5"
"2019/2020","Female","all","NABTEB","University","ward","G.R.A.","South South","Delta","Warri South","G.R.A.","","202","199","131","49","45","5","3","68","82","5"
"2019/2020","Female","all","NECO","College of Education","ward","Akwukwu","South South","Delta","Oshimili North","Akwukwu","","466","459","316","118","101","17","7","143","199","17"
