"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South West","Ekiti","Ado Ekiti","Ado 'A' Idofin","Community Secondary School, Ado 'A' Idofin","Female","all","NABTEB","University","48","47","28","11","12","0","1.8","1","19","18","0"
"2019/2020","South West","Ekiti","Ado Ekiti","Ado 'A' Idofin","Community Secondary School, Ado 'A' Idofin","Female","all","NECO","University","80","79","50","21","18","3","1.8","1","29","30","3"
"2019/2020","South West","Ekiti","Ado Ekiti","Ado 'A' Idofin","Community Secondary School, Ado 'A' Idofin","Female","all","WAEC","University","116","114","71","28","24","4","1.8","2","43","44","4"
"2019/2020","South West","Ekiti","Ado Ekiti","Ado 'A' Idofin","Community Secondary School, Ado 'A' Idofin","Female","disabled","NABTEB","University","7","7","3","3","3","0","1.8","0","4","0","0"
"2019/2020","South West","Ekiti","Ado Ekiti","Ado 'A' Idofin","Community Secondary School, Ado 'A' Idofin","Female","disabled","NECO","University","8","8","5","3","4","0","1.8","0","3","3","0"
"2019/2020","South West","Ekiti","Ado Ekiti","Ado 'A' Idofin","Community Secondary School, Ado 'A' Idofin","Female","disabled","WAEC","University","12","12","6","3","3","0","1.8","0","6","3","0"
"2019/2020","South West","Ekiti","Ado Ekiti","Ado 'A' Idofin","Community Secondary School, Ado 'A' Idofin","Male","all","NABTEB","University","48","47","26","11","12","0","1.8","1","21","16","0"
"2019/2020","South West","Ekiti","Ado Ekiti","Ado 'A' Idofin","Community Secondary School, Ado 'A' Idofin","Male","all","NECO","University","87","86","50","21","18","3","1.8","1","36","30","3"
"2019/2020","South West","Ekiti","Ado Ekiti","Ado 'A' Idofin","Community Secondary School, Ado 'A' Idofin","Male","all","WAEC","University","115","113","65","28","24","4","1.8","2","48","37","4"
"2019/2020","South West","Ekiti","Ado Ekiti","Ado 'A' Idofin","Community Secondary School, Ado 'A' Idofin","Male","disabled","NABTEB","University","7","7","4","3","3","0","1.8","0","3","1","0"
"2019/2020","South West","Ekiti","Ado Ekiti","Ado 'A' Idofin","Community Secondary School, Ado 'A' Idofin","Male","disabled","NECO","University","11","11","6","3","4","0","1.8","0","6","3","0"
"2019/2020","South West","Ekiti","Ado Ekiti","Ado 'A' Idofin","Community Secondary School, Ado 'A' Idofin","Male","disabled","WAEC","University","13","13","6","3","3","0","1.8","0","6","4","0"
"2019/2020","South West","Ekiti","Ado Ekiti","Ado 'A' Idofin","Comprehensive High School, Ado 'A' Idofin","Female","all","NABTEB","College of Education","75","74","45","15","12","3","2.1","1","29","30","3"
"2019/2020","South West","Ekiti","Ado Ekiti","Ado 'A' Idofin","Comprehensive High School, Ado 'A' Idofin","Female","all","NECO","College of Education","133","131","75","31","28","3","2.0","2","56","45","3"
