"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North East","Yobe","Bade","Dagona","Community Secondary School, Dagona","Female","all","NABTEB","University","44","43","32","8","8","0","1.8","1","11","24","0"
"2019/2020","North East","Yobe","Bade","Dagona","Community Secondary School, Dagona","Female","all","NECO","University","77","76","52","18","19","0","1.8","1","24","35","0"
"2019/2020","North East","Yobe","Bade","Dagona","Community Secondary School, Dagona","Female","all","WAEC","University","105","103","72","25","22","3","1.8","2","31","47","3"
"2019/2020","North East","Yobe","Bade","Dagona","Community Secondary School, Dagona","Female","disabled","NABTEB","University","8","8","6","0","0","0","1.8","0","2","6","0"
"2019/2020","North East","Yobe","Bade","Dagona","Community Secondary School, Dagona","Female","disabled","NECO","University","10","10","5","0","0","0","1.8","0","5","5","0"
"2019/2020","North East","Yobe","Bade","Dagona","Community Secondary School, Dagona","Female","disabled","WAEC","University","11","11","7","0","0","0","1.8","0","4","7","0"
"2019/2020","North East","Yobe","Bade","Dagona","Community Secondary School, Dagona","Male","all","NABTEB","University","43","42","28","8","8","0","1.8","1","14","21","0"
"2019/2020","North East","Yobe","Bade","Dagona","Community Secondary School, Dagona","Male","all","NECO","University","79","78","52","17","12","5","1.8","1","26","35","5"
"2019/2020","North East","Yobe","Bade","Dagona","Community Secondary School, Dagona","Male","all","WAEC","University","96","95","67","20","16","4","1.8","1","28","47","4"
"2019/2020","North East","Yobe","Bade","Dagona","Community Secondary School, Dagona","Male","disabled","NABTEB","University","8","8","6","0","0","0","1.8","0","2","6","0"
"2019/2020","North East","Yobe","Bade","Dagona","Community Secondary School, Dagona","Male","disabled","NECO","University","10","10","5","0","0","0","1.8","0","5","5","0"
"2019/2020","North East","Yobe","Bade","Dagona","Community Secondary School, Dagona","Male","disabled","WAEC","University","12","12","8","0","0","0","1.8","0","4","8","0"
"2019/2020","North East","Yobe","Bade","Dagona","Comprehensive High School, Dagona","Female","all","NABTEB","University","80","79","51","16","17","0","1.8","1","28","35","0"
"2019/2020","North East","Yobe","Bade","Dagona","Comprehensive High School, Dagona","Female","all","NECO","University","142","140","99","29","25","4","1.8","2","41","70","4"
"2019/2020","North East","Yobe","Bade","Dagona","Comprehensive High School, Dagona","Female","all","WAEC","University","201","198","139","46","38","8","1.8","3","59","93","8"
"2019/2020","North East","Yobe","Bade","Dagona","Comprehensive High School, Dagona","Female","disabled","NABTEB","University","8","8","6","0","0","0","1.8","0","2","6","0"
"2019/2020","North East","Yobe","Bade","Dagona","Comprehensive High School, Dagona","Female","disabled","NECO","University","18","18","11","6","6","0","1.8","0","7","6","0"
"2019/2020","North East","Yobe","Bade","Dagona","Comprehensive High School, Dagona","Female","disabled","WAEC","University","28","28","18","5","6","0","1.8","0","10","13","0"
"2019/2020","North East","Yobe","Bade","Dagona","Comprehensive High School, Dagona","Male","all","NABTEB","University","79","78","50","16","17","0","1.8","1","28","35","0"
"2019/2020","North East","Yobe","Bade","Dagona","Comprehensive High School, Dagona","Male","all","NECO","University","146","144","102","29","25","4","1.8","2","42","73","4"
"2019/2020","North East","Yobe","Bade","Dagona","Comprehensive High School, Dagona","Male","all","WAEC","University","212","209","143","41","38","3","1.8","3","66","102","3"
"2019/2020","North East","Yobe","Bade","Dagona","Comprehensive High School, Dagona","Male","disabled","NABTEB","University","8","8","6","0","0","0","1.8","0","2","6","0"
"2019/2020","North East","Yobe","Bade","Dagona","Comprehensive High School, Dagona","Male","disabled","NECO","University","18","18","11","6","6","0","1.8","0","7","6","0"
"2019/2020","North East","Yobe","Bade","Dagona","Comprehensive High School, Dagona","Male","disabled","WAEC","University","24","24","14","5","6","0","1.8","0","10","10","0"
"2019/2020","North East","Yobe","Bade","Dagona","Government Secondary School, Dagona","Female","all","NABTEB","University","63","62","45","16","17","0","1.8","1","17","29","0"
"2019/2020","North East","Yobe","Bade","Dagona","Government Secondary School, Dagona","Female","all","NECO","University","97","96","64","18","12","6","1.8","1","32","46","6"
"2019/2020","North East","Yobe","Bade","Dagona","Government Secondary School, Dagona","Female","all","WAEC","University","160","158","105","41","38","3","1.8","2","53","64","3"
"2019/2020","North East","Yobe","Bade","Dagona","Government Secondary School, Dagona","Female","disabled","NABTEB","University","10","10","6","0","0","0","1.8","0","4","6","0"
"2019/2020","North East","Yobe","Bade","Dagona","Government Secondary School, Dagona","Female","disabled","NECO","University","10","10","5","0","0","0","1.8","0","5","5","0"
"2019/2020","North East","Yobe","Bade","Dagona","Government Secondary School, Dagona","Female","disabled","WAEC","University","13","13","9","4","5","0","1.8","0","4","4","0"
"2019/2020","North East","Yobe","Bade","Dagona","Government Secondary School, Dagona","Male","all","NABTEB","University","65","64","44","16","17","0","1.8","1","20","29","0"
"2019/2020","North East","Yobe","Bade","Dagona","Government Secondary School, Dagona","Male","all","NECO","University","114","112","75","17","19","0","1.8","2","37","58","0"
"2019/2020","North East","Yobe","Bade","Dagona","Government Secondary School, Dagona","Male","all","WAEC","University","167","165","110","36","33","3","1.8","2","55","75","3"
"2019/2020","North East","Yobe","Bade","Dagona","Government Secondary School, Dagona","Male","disabled","NABTEB","University","10","10","7","0","0","0","1.8","0","3","7","0"
"2019/2020","North East","Yobe","Bade","Dagona","Government Secondary School, Dagona","Male","disabled","NECO","University","10","10","5","0","0","0","1.8","0","5","5","0"
"2019/2020","North East","Yobe","Bade","Dagona","Government Secondary School, Dagona","Male","disabled","WAEC","University","14","14","9","0","0","0","1.8","0","5","9","0"
"2019/2020","North East","Yobe","Bade","Dagona","Unity College, Gashua","Female","all","NABTEB","College of Education","62","61","41","16","17","0","2.1","1","20","26","0"
"2019/2020","North East","Yobe","Bade","Dagona","Unity College, Gashua","Female","all","NECO","College of Education","107","105","72","23","19","4","2.0","2","33","50","4"
"2019/2020","North East","Yobe","Bade","Dagona","Unity College, Gashua","Female","all","WAEC","College of Education","124","122","79","25","22","3","2.0","2","43","55","3"
"2019/2020","North East","Yobe","Bade","Dagona","Unity College, Gashua","Female","disabled","NABTEB","College of Education","10","10","7","0","0","0","2.1","0","3","7","0"
"2019/2020","North East","Yobe","Bade","Dagona","Unity College, Gashua","Female","disabled","NECO","College of Education","10","10","5","0","0","0","2.0","0","5","5","0"
"2019/2020","North East","Yobe","Bade","Dagona","Unity College, Gashua","Female","disabled","WAEC","College of Education","13","13","9","0","0","0","2.0","0","4","9","0"
"2019/2020","North East","Yobe","Bade","Dagona","Unity College, Gashua","Male","all","NABTEB","College of Education","65","64","44","16","17","0","2.1","1","20","29","0"
"2019/2020","North East","Yobe","Bade","Dagona","Unity College, Gashua","Male","all","NECO","College of Education","112","110","72","17","12","5","2.0","2","38","55","5"
"2019/2020","North East","Yobe","Bade","Dagona","Unity College, Gashua","Male","all","WAEC","College of Education","142","140","92","31","27","4","2.0","2","48","62","4"
"2019/2020","North East","Yobe","Bade","Dagona","Unity College, Gashua","Male","disabled","NABTEB","College of Education","8","8","6","0","0","0","2.1","0","2","6","0"
"2019/2020","North East","Yobe","Bade","Dagona","Unity College, Gashua","Male","disabled","NECO","College of Education","12","12","8","0","0","0","2.0","0","4","8","0"
"2019/2020","North East","Yobe","Bade","Dagona","Unity College, Gashua","Male","disabled","WAEC","College of Education","14","14","9","5","6","0","2.0","0","5","5","0"
"2019/2020","North East","Yobe","Bade","Gwio-Kura","Community Secondary School, Gwio-Kura","Female","all","NABTEB","College of Education","119","117","86","33","25","8","2.1","2","31","53","8"
"2019/2020","North East","Yobe","Bade","Gwio-Kura","Community Secondary School, Gwio-Kura","Female","all","NECO","College of Education","205","202","137","52","44","9","2.0","3","65","84","9"
"2019/2020","North East","Yobe","Bade","Gwio-Kura","Community Secondary School, Gwio-Kura","Female","all","WAEC","College of Education","294","290","192","71","66","5","2.0","4","98","122","5"
