"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","all","NABTEB","University","105","103","59","32","28","4","1.8","2","44","28","4"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","all","NECO","University","183","180","108","48","42","6","1.8","3","72","61","6"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","all","WAEC","University","246","242","149","74","61","13","1.8","4","93","75","13"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","disabled","NABTEB","University","8","8","4","6","6","0","1.8","0","4","0","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","disabled","NECO","University","13","13","8","3","4","0","1.8","0","5","4","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Female","disabled","WAEC","University","21","21","11","4","4","0","1.8","0","10","8","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","all","NABTEB","University","105","103","59","19","21","0","1.8","2","44","41","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","all","NECO","University","188","185","106","44","38","6","1.8","3","79","63","6"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","all","WAEC","University","253","249","145","58","53","5","1.8","4","104","87","5"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","disabled","NABTEB","University","8","8","4","0","0","0","1.8","0","4","4","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","disabled","NECO","University","10","10","6","3","4","0","1.8","0","4","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Community Secondary School, Buratai","Male","disabled","WAEC","University","18","18","11","4","4","0","1.8","0","7","7","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","all","NABTEB","University","69","68","43","19","14","5","1.8","1","25","24","5"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","all","NECO","University","117","115","66","31","28","3","1.8","2","49","36","3"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","all","WAEC","University","163","161","98","39","32","7","1.8","2","63","59","7"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","disabled","NABTEB","University","8","8","4","0","0","0","1.8","0","4","4","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","disabled","NECO","University","10","10","6","3","3","0","1.8","0","4","2","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Female","disabled","WAEC","University","15","15","9","4","4","0","1.8","0","6","5","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Male","all","NABTEB","University","80","79","44","13","14","0","1.8","1","35","32","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Male","all","NECO","University","124","122","75","26","23","3","1.8","2","47","50","3"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Male","all","WAEC","University","176","173","103","39","32","7","1.8","3","70","65","7"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Male","disabled","NABTEB","University","8","8","4","0","0","0","1.8","0","4","4","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Male","disabled","NECO","University","10","10","6","0","0","0","1.8","0","4","6","0"
"2019/2020","North East","Borno","Biu","Buratai","Comprehensive High School, Buratai","Male","disabled","WAEC","University","15","15","9","4","4","0","1.8","0","6","5","0"
"2019/2020","North East","Borno","Biu","Buratai","Government Secondary School, Buratai","Female","all","NABTEB","University","64","63","34","13","14","0","1.8","1","29","22","0"
"2019/2020","North East","Borno","Biu","Buratai","Government Secondary School, Buratai","Female","all","NECO","University","102","100","59","31","28","3","1.8","2","41","29","3"
"2019/2020","North East","Borno","Biu","Buratai","Government Secondary School, Buratai","Female","all","WAEC","University","149","147","90","39","36","3","1.8","2","57","51","3"
"2019/2020","North East","Borno","Biu","Buratai","Government Secondary School, Buratai","Female","disabled","NABTEB","University","8","8","4","0","0","0","1.8","0","4","4","0"
"2019/2020","North East","Borno","Biu","Buratai","Government Secondary School, Buratai","Female","disabled","NECO","University","11","11","6","4","5","0","1.8","0","5","3","0"
"2019/2020","North East","Borno","Biu","Buratai","Government Secondary School, Buratai","Female","disabled","WAEC","University","17","17","10","4","4","0","1.8","0","7","6","0"
"2019/2020","North East","Borno","Biu","Buratai","Government Secondary School, Buratai","Male","all","NABTEB","University","60","59","38","13","14","0","1.8","1","21","25","0"
"2019/2020","North East","Borno","Biu","Buratai","Government Secondary School, Buratai","Male","all","NECO","University","96","95","52","18","14","4","1.8","1","43","35","4"
"2019/2020","North East","Borno","Biu","Buratai","Government Secondary School, Buratai","Male","all","WAEC","University","137","135","80","35","32","3","1.8","2","55","45","3"
"2019/2020","North East","Borno","Biu","Buratai","Government Secondary School, Buratai","Male","disabled","NABTEB","University","8","8","4","0","0","0","1.8","0","4","4","0"
"2019/2020","North East","Borno","Biu","Buratai","Government Secondary School, Buratai","Male","disabled","NECO","University","12","12","7","4","5","0","1.8","0","5","3","0"
"2019/2020","North East","Borno","Biu","Buratai","Government Secondary School, Buratai","Male","disabled","WAEC","University","17","17","10","4","4","0","1.8","0","7","6","0"
"2019/2020","North East","Borno","Biu","Buratai","Unity College, Biu","Female","all","NABTEB","Polytechnic","105","103","57","19","14","5","2.0","2","46","39","5"
