"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","all","NABTEB","College of Education","102","100","58","25","21","4","2.1","2","42","33","4"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","all","NECO","College of Education","257","253","147","62","56","6","2.0","4","106","86","6"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","all","WAEC","College of Education","307","302","181","73","66","7","2.0","5","121","109","7"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","disabled","NABTEB","College of Education","9","9","4","4","4","0","2.1","0","4","0","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","disabled","NECO","College of Education","18","18","11","4","5","0","2.0","0","7","8","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Female","disabled","WAEC","College of Education","23","23","14","4","4","0","2.0","0","9","11","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Male","all","NABTEB","College of Education","108","106","61","20","15","5","2.1","2","45","42","5"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Male","all","NECO","College of Education","237","233","134","53","46","7","2.0","4","99","82","7"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Male","all","WAEC","College of Education","282","278","172","69","62","7","2.0","4","106","104","7"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Male","disabled","NABTEB","College of Education","8","8","4","0","0","0","2.1","0","4","4","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Male","disabled","NECO","College of Education","16","16","9","4","5","0","2.0","0","7","6","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Community Secondary School, Amuzu","Male","disabled","WAEC","College of Education","23","23","12","4","4","0","2.0","0","11","9","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Comprehensive High School, Amuzu","Female","all","NABTEB","College of Education","69","68","42","15","15","0","2.1","1","26","28","0"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Comprehensive High School, Amuzu","Female","all","NECO","College of Education","134","132","82","31","28","3","2.0","2","50","51","3"
"2019/2020","South East","Imo","Aboh Mbaise","Amuzu","Comprehensive High School, Amuzu","Female","all","WAEC","College of Education","185","182","105","46","41","5","2.0","3","77","60","5"
