"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","all","NABTEB","Polytechnic","101","99","70","26","22","5","2.0","2","29","43","5"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","all","NECO","Polytechnic","175","172","120","34","31","3","2.0","3","52","86","3"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","all","WAEC","Polytechnic","268","264","184","55","49","6","2.0","4","80","129","6"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","disabled","NABTEB","Polytechnic","10","10","7","0","0","0","2.0","0","3","7","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","disabled","NECO","Polytechnic","19","19","11","0","0","0","2.0","0","8","11","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Female","disabled","WAEC","Polytechnic","26","26","18","5","5","0","2.0","0","8","13","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Male","all","NABTEB","Polytechnic","122","120","80","27","22","5","2.0","2","40","53","5"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Male","all","NECO","Polytechnic","216","213","151","45","43","2","2.0","3","62","106","2"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Male","all","WAEC","Polytechnic","297","293","205","64","53","11","2.0","4","88","142","11"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Male","disabled","NABTEB","Polytechnic","13","13","10","7","7","0","2.0","0","3","3","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Male","disabled","NECO","Polytechnic","22","22","14","5","6","0","2.0","0","8","10","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Community Secondary School, Bingi North","Male","disabled","WAEC","Polytechnic","26","26","15","4","5","0","2.0","0","11","12","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Comprehensive High School, Bingi North","Female","all","NABTEB","Polytechnic","70","69","53","28","29","0","2.0","1","16","26","0"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Comprehensive High School, Bingi North","Female","all","NECO","Polytechnic","126","124","86","39","37","2","2.0","2","38","48","2"
"2019/2020","North West","Zamfara","Bungudu","Bingi North","Comprehensive High School, Bingi North","Female","all","WAEC","Polytechnic","125","123","94","41","39","2","2.0","2","29","54","2"
