session,zone,state,lga,ward,school,gender,disability_scope,exam_body,institution_type,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,median_time_to_matriculation_years,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,all,NABTEB,College of Education,76,75,48,25,19,6,2.1,1,27,23,6
2019/2020,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,all,NECO,College of Education,158,156,101,43,39,4,2.0,2,55,58,4
2019/2020,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,all,WAEC,College of Education,185,182,117,48,42,6,2.0,3,65,69,6
2019/2020,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,disabled,NABTEB,College of Education,11,11,6,6,6,0,2.1,0,5,0,0
2019/2020,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,disabled,NECO,College of Education,21,21,11,5,5,0,2.0,0,10,6,0
2019/2020,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Female,disabled,WAEC,College of Education,28,28,17,4,5,0,2.0,0,11,13,0
2019/2020,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,all,NABTEB,College of Education,95,94,57,31,26,5,2.1,1,37,26,5
2019/2020,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,all,NECO,College of Education,176,173,109,43,39,4,2.0,3,64,66,4
2019/2020,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,all,WAEC,College of Education,216,213,127,53,47,6,2.0,3,86,74,6
2019/2020,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,disabled,NABTEB,College of Education,13,13,9,6,6,0,2.1,0,4,3,0
2019/2020,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,disabled,NECO,College of Education,23,23,14,5,5,0,2.0,0,9,9,0
2019/2020,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Community Secondary School, City Centre",Male,disabled,WAEC,College of Education,28,28,17,4,5,0,2.0,0,11,13,0
2019/2020,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,all,NABTEB,College of Education,76,75,48,25,26,0,2.1,1,27,23,0
2019/2020,North Central,Abuja Federal Capital Territory,Abuja Municipal Area Council,City Centre,"Comprehensive High School, City Centre",Female,all,NECO,College of Education,146,144,95,33,29,4,2.0,2,49,62,4
