"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Community Secondary School, Alim-Gora","Female","all","NABTEB","College of Education","115","113","72","22","16","6","2.1","2","41","51","6"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Community Secondary School, Alim-Gora","Female","all","NECO","College of Education","230","227","136","37","33","4","2.0","3","91","100","4"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Community Secondary School, Alim-Gora","Female","all","WAEC","College of Education","252","248","157","52","47","5","2.0","4","91","105","5"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Community Secondary School, Alim-Gora","Female","disabled","NABTEB","College of Education","10","10","5","0","0","0","2.1","0","5","5","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Community Secondary School, Alim-Gora","Female","disabled","NECO","College of Education","22","22","12","0","0","0","2.0","0","10","12","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Community Secondary School, Alim-Gora","Female","disabled","WAEC","College of Education","27","27","14","4","4","0","2.0","0","13","10","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Community Secondary School, Alim-Gora","Male","all","NABTEB","College of Education","117","115","66","22","16","6","2.1","2","49","45","6"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Community Secondary School, Alim-Gora","Male","all","NECO","College of Education","244","240","157","43","39","4","2.0","4","83","115","4"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Community Secondary School, Alim-Gora","Male","all","WAEC","College of Education","300","296","186","62","52","10","2.0","4","110","124","10"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Community Secondary School, Alim-Gora","Male","disabled","NABTEB","College of Education","10","10","5","0","0","0","2.1","0","5","5","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Community Secondary School, Alim-Gora","Male","disabled","NECO","College of Education","28","28","15","0","0","0","2.0","0","13","15","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Community Secondary School, Alim-Gora","Male","disabled","WAEC","College of Education","31","31","16","0","0","0","2.0","0","16","16","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Comprehensive High School, Alim-Gora","Female","all","NABTEB","College of Education","76","75","43","15","16","0","2.1","1","32","29","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Comprehensive High School, Alim-Gora","Female","all","NECO","College of Education","155","153","98","24","20","4","2.0","2","55","74","4"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Comprehensive High School, Alim-Gora","Female","all","WAEC","College of Education","199","196","124","38","36","2","2.0","3","72","86","2"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Comprehensive High School, Alim-Gora","Female","disabled","NABTEB","College of Education","8","8","5","0","0","0","2.1","0","3","5","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Comprehensive High School, Alim-Gora","Female","disabled","NECO","College of Education","18","18","11","0","0","0","2.0","0","7","11","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Comprehensive High School, Alim-Gora","Female","disabled","WAEC","College of Education","23","23","13","5","5","0","2.0","0","10","8","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Comprehensive High School, Alim-Gora","Male","all","NABTEB","College of Education","91","90","52","15","16","0","2.1","1","38","37","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Comprehensive High School, Alim-Gora","Male","all","NECO","College of Education","170","167","106","31","26","5","2.0","3","61","76","5"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Comprehensive High School, Alim-Gora","Male","all","WAEC","College of Education","222","219","140","38","31","7","2.0","3","79","102","7"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Comprehensive High School, Alim-Gora","Male","disabled","NABTEB","College of Education","11","11","6","0","0","0","2.1","0","6","6","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Comprehensive High School, Alim-Gora","Male","disabled","NECO","College of Education","20","20","12","0","0","0","2.0","0","8","12","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Comprehensive High School, Alim-Gora","Male","disabled","WAEC","College of Education","28","28","15","0","0","0","2.0","0","13","15","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Government Secondary School, Alim-Gora","Female","all","NABTEB","Polytechnic","62","61","37","15","16","0","2.0","1","24","23","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Government Secondary School, Alim-Gora","Female","all","NECO","Polytechnic","110","108","71","30","26","5","2.0","2","37","40","5"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Government Secondary School, Alim-Gora","Female","all","WAEC","Polytechnic","180","177","111","43","36","7","2.0","3","66","68","7"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Government Secondary School, Alim-Gora","Female","disabled","NABTEB","Polytechnic","8","8","5","0","0","0","2.0","0","3","5","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Government Secondary School, Alim-Gora","Female","disabled","NECO","Polytechnic","13","13","8","6","6","0","2.0","0","5","2","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Government Secondary School, Alim-Gora","Female","disabled","WAEC","Polytechnic","20","20","12","5","5","0","2.0","0","8","7","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Government Secondary School, Alim-Gora","Male","all","NABTEB","Polytechnic","76","75","51","15","16","0","2.0","1","24","37","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Government Secondary School, Alim-Gora","Male","all","NECO","Polytechnic","132","130","80","37","33","4","2.0","2","50","44","4"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Government Secondary School, Alim-Gora","Male","all","WAEC","Polytechnic","193","190","116","43","36","7","2.0","3","74","74","7"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Government Secondary School, Alim-Gora","Male","disabled","NABTEB","Polytechnic","8","8","5","0","0","0","2.0","0","3","5","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Government Secondary School, Alim-Gora","Male","disabled","NECO","Polytechnic","15","15","8","6","6","0","2.0","0","8","2","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Government Secondary School, Alim-Gora","Male","disabled","WAEC","Polytechnic","20","20","12","5","5","0","2.0","0","8","7","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Unity College, Ardo Kola","Female","all","NABTEB","Polytechnic","60","59","44","15","16","0","2.0","1","15","29","0"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Unity College, Ardo Kola","Female","all","NECO","Polytechnic","114","112","77","43","39","4","2.0","2","35","35","4"
"2019/2020","North East","Taraba","Ardo Kola","Alim-Gora","Unity College, Ardo Kola","Female","all","WAEC","Polytechnic","140","138","95","48","42","6","2.0","2","43","48","6"
