"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","institution_type","ss3_total","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Community Secondary School, Ward I N2","Female","all","NABTEB","University","97","96","59","19","15","4","1.8","1","37","41","4"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Community Secondary School, Ward I N2","Female","all","NECO","University","150","148","88","36","32","4","1.8","2","60","53","4"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Community Secondary School, Ward I N2","Female","all","WAEC","University","228","225","129","44","40","4","1.8","3","96","85","4"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Community Secondary School, Ward I N2","Female","disabled","NABTEB","University","10","10","5","5","5","0","1.8","0","5","1","0"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Community Secondary School, Ward I N2","Female","disabled","NECO","University","17","17","10","5","5","0","1.8","0","7","6","0"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Community Secondary School, Ward I N2","Female","disabled","WAEC","University","25","25","14","4","4","0","1.8","0","11","10","0"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Community Secondary School, Ward I N2","Male","all","NABTEB","University","104","102","59","19","15","4","1.8","2","43","41","4"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Community Secondary School, Ward I N2","Male","all","NECO","University","174","171","104","36","32","4","1.8","3","67","68","4"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Community Secondary School, Ward I N2","Male","all","WAEC","University","241","237","143","48","44","4","1.8","4","94","95","4"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Community Secondary School, Ward I N2","Male","disabled","NABTEB","University","10","10","5","0","0","0","1.8","0","5","5","0"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Community Secondary School, Ward I N2","Male","disabled","NECO","University","17","17","10","5","4","1","1.8","0","7","6","1"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Community Secondary School, Ward I N2","Male","disabled","WAEC","University","27","27","15","4","4","0","1.8","0","12","12","0"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Comprehensive High School, Ward I N2","Female","all","NABTEB","College of Education","54","53","31","14","15","0","2.1","1","22","18","0"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Comprehensive High School, Ward I N2","Female","all","NECO","College of Education","109","107","65","31","27","4","2.0","2","42","35","4"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Comprehensive High School, Ward I N2","Female","all","WAEC","College of Education","146","144","92","36","36","1","2.0","2","52","55","1"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Comprehensive High School, Ward I N2","Female","disabled","NABTEB","College of Education","10","10","5","5","5","0","2.1","0","5","1","0"
"2019/2020","South West","Oyo","Ibadan North","Ward I N2","Comprehensive High School, Ward I N2","Female","disabled","NECO","College of Education","14","14","7","5","4","1","2.0","0","7","3","1"
